MP,Age,TOV%,TRB%,Tm,STL%
14:00,24-261,13.4,10.7,NJN,0.0
18:00,24-351,0.0,13.9,NJN,2.7
4:00,24-324,53.2,36.9,NJN,0.0
6:00,24-323,0.0,26.4,NJN,0.0
27:00,24-238,10.1,16.0,NJN,1.8
13:00,24-223,20.0,6.8,NJN,3.5
8:00,24-241,34.7,0.0,NJN,6.4
7:00,24-338,0.0,8.0,NJN,0.0
15:00,24-335,25.5,13.1,NJN,6.3
21:00,24-349,7.5,11.4,NJN,0.0
11:00,24-343,0.0,5.0,NJN,0.0
23:00,24-234,33.3,7.4,NJN,2.2
9:00,24-294,33.3,6.0,NJN,0.0
34:00,24-253,0.0,11.4,NJN,0.0
18:00,24-245,50.0,8.8,NJN,8.3
23:00,25-003,22.5,12.6,NJN,0.0
21:00,24-276,0.0,12.3,NJN,2.3
1:00,24-363, ,0.0,NJN,0.0
16:00,24-287,0.0,13.2,NJN,0.0
6:00,24-227,50.0,8.5,NJN,17.0
12:00,24-289,0.0,19.3,NJN,4.0
5:00,24-220,33.3,23.7,NJN,0.0
9:00,24-212,41.0,13.3,NJN,5.3
15:00,24-269,0.0,6.0,NJN,0.0
1:00,24-359,0.0,0.0,NJN,0.0
9:00,24-320,25.8,0.0,NJN,0.0
6:00,24-205,0.0,0.0,NJN,0.0
12:00,24-230,34.7,0.0,NJN,4.1
21:00,24-301,17.8,12.2,NJN,0.0
