Course Number,Section Number,Course Title,Call Number,Instructor,Days,Times,Location,Min-Max Credits,60/90 Rule,Years,Notes
Lg.Studies,444,Legal Studies: Law In Action (Undergraduates), , ,MWF,1205-1255,2211, , ,Undergra,"Legal Studies 444 students only. Discussion sections meet Fridays at 850 (Rm 3247), 1205 (Rm 2211), and 225 (Rm 3247)."
852,6,Trial Advocacy (Mock Trial: BLSA), ,"Wos, E.", , , ,2-3,*,L2-L3,PF only; requires consent of instructor
854,18,Clinical Program: Law Externship,28601.0,"Heymann, J.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor.
854,1,Clinical Program: Mediation Clinic,28626.0,"Erez-Navot, D.",M,825-1025,3268,1-7,*,L2-L3,PF only; requires consent of instructor. LW
950,1,Lawyering Skills Course,28425.0,"Viney, G. Cagle, R.",MTWRF,110-400,3250,8-8,*,L2-L3,PF only; limit 64 students.
862,1,Legal Assistance to Institutionalized Persons (LAIP),28415.0,"Prosser, M.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor. LW
854,19,Clinical Program: Law & Entrepreneurship,28596.0,"Englund, E. Smith, A. Burkes, R.",M,110-310,WI Institutes for Discovery,1-7,*,L2-L3,PF only; req. consent of instructor; LW
854,13,Clinical Program: Family Law Project (FLP),28592.0,"Shear, L.", , , ,1-7,*,L2-L3,PF only; Req. consent of instructor
854,14,Clinical Program: Prosecution Project,28474.0,"Kempinen, B.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor.
854,15,Clinical Program: Midwestern Environmental Advocates Externship,28527.0,"Christenson, A.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor
854,16,Clinical Program: Criminal Appeals Project,28529.0,"Pray, J.",MWF,1055-1150,3226,1-7,*,L2-L3,PF only; requires consent of instructor.
854,17,Clinical Program: Government & Legislative Clinic (GLC),28549.0,"McBride, E.",F,1050-1150,3247,1-7,*,L2-L3,PF only; requires consent of instructor
852,4,Trial Advocacy,28410.0,"Kempinen, B.",F,110-310,3260,2-2,*,L2-L3,PF only; consent required; Prosecution Project students only; meets after Spring Break.
852,5,Trial Advocacy,28552.0,"LaVigne, M.",R,500-700,3260,2-2,*,L2-L3,PF only; consent required; Defense Project students only.
854,2,Clinical Program: Disability Rights Wisconsin,28411.0,"Kerschensteiner, K.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor.
854,3,Clinical Program: Consumer Law Clinic,28412.0,"Orr, S.",R,900-1100,3261,1-7,*,L2-L3,PF only; requires consent of instructor. LW
854,4,Clinical Program: Defense Project,28432.0,"LaVigne, M.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor.
854,5,Clinical Program: Department of Justice,28413.0,"Sullivan, F.",R,830-1030,WI DOJ,1-7,*,L2-L3,PF only; requires consent of instructor.
854,6,Clinical Program: Family Court Clinic,28414.0,"Mansfield, M.",W,240-400,3247,1-7,*,L2-L3,PF only; requires consent of instructor. LW
854,7,Clinical Program: Domestic Violence,28627.0,"Meuer, T.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor; pre-req: L&CP Domestic Violence.
854,8,Clinical Program: Innocence Project,28517.0,"Lichstein, B.",W,900-1020,3250,1-7,*,L2-L3,PF only; requires consent of instructor. LW
854,12,Clinical Program: Neighborhood Law Clinic (NLC),28446.0,"Mitch, .",W,950-1150,3261,1-7,*,L2-L3,PF only; requires consent of instructor. LW
854,11,Clinical Program: Restorative Justice Project,28582.0,"Scharrer, J.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor.
854,10,Clinical Program: Labor Law Clinical,28498.0,"Clauss, C.", , , ,1-7,*,L2-L3,PF only; requires consent of instructor.
854,9,Clinical Program: Judicial Internship,28434.0,"Schultz, D. Cagle, R.",R,800-900,5240,1-7,*,L2-L3,PF only; requires consent of instructor; section meets at Law School periodically during the spring semester. Attendance at three or more sessions is required.
852,3,Trial Advocacy (Mock Trial competition), ,"Berz, E. Lanford, R.",W,540-740,3250,2-3,*,L2-L3,PF only; meeting times TBD; Trial Advocacy for Mock Trial Team; consent of instructor; pre req: Evidence;
852,1,Trial Advocacy,28408.0,"Erlandson, A.",M,540-740,3260,2-2,*,L2-L3,PF only; limit 16 students; Evidence required (or concurrent)
850,2,Professional Responsibilities,28407.0,"Schweitzer, N.",TR,110-205,2225,2-2,*,L2-L3,PF; meets Prof. Respon. Req. Exam: May 10
850,1,Professional Responsibilities,28406.0,"Mansfield, M.",MW,1055-1150,5229,2-2,*,L2-L3,PF; meets Prof. Respon. Req. Exam: May 12
768,1,Clinical Program: Health Advocacy & Patient-Centered Care,28588.0,"Gaines, M. Davis, S. O'Connell, K.",W,435-600,3253,1-7,*,L2-L3,PF only; requires consent of instructor.
852,2,Trial Advocacy,28608.0,"Farnsworth, E.",T,540-740,3260,2-2,*,L2-L3,PF only; limit 16 students; Evidence required
854,20,Clinical Program: Oxford Federal Project,28590.0,"Stevenson, A.", , , ,1-7,*,L2-L3,PF only; req. consent of instructor; LW
854,21,Clinical Program: Immigrant Justice Clinic,28650.0,"Taeuber, S.",W,330-630,5246,1-7,*,L2-L3,PF only; req. consent of instructor; LW
854,22,Clinical Program: Re-Entry Project,28657.0,"Wos, E.", , , ,1-7,*,L2-L3,PF only; req. consent of instructor.
854,23,Clinical Program: Federal Appeals Project,28659.0,"Stevenson, A.", , , ,1-7,*,L2-L3,PF only; req. consent of instructor; LW
950,3,Lawyering Skills Course: Public Speaking for Lawyers,28589.0,"Plum, C.",F,950-1150,3250,1-1,*,L2-L3,PF only; limit 16 students; meets first eight weeks of semester only.
852,7,Trial Advocacy (Mock Trial: Phi Alpha Delta),35995.0,"Williams, S.", , , ,2-3,*,L2-L3,PF only; requires consent of instructor
