TOV%,USG%,ORtg,TS%,Opp,Age,GS,AST%
0.0,16.3,129,.563,POR,21-181,0,12.1
25.4,21.6,78,.425,POR,21-185,0,24.1
 ,0.0, , ,DAL,21-263,0,0.0
25.0,27.7,86,.667,MIL,21-171,0,0.0
0.0,20.1,104,.347,PHI,21-298,0,0.0
23.3,28.1,101,.759,BOS,21-268,0,11.3
 ,0.0, , ,ATL,21-290,0,0.0
0.0,28.5,142,.643,NJN,21-262,0,0.0
0.0,8.2,202,1.000,MIL,21-176,0,0.0
0.0,22.0,138,.533,PHO,21-179,0,10.3
100.0,14.3,42, ,NYK,21-307,0,39.0
50.0,40.2,0,.000,NJN,21-146,0,0.0
100.0,43.9,0, ,PHI,21-172,0,0.0
 ,0.0, , ,ORL,21-161,0,0.0
0.0,15.3,124,.500,WSB,21-193,0,0.0
 ,0.0, , ,HOU,21-167,0,0.0
25.4,25.5,67,.340,DET,21-165,0,0.0
20.5,21.1,160,1.031,WSB,21-168,0,0.0
 ,0.0, , ,MIN,21-178,0,0.0
25.4,16.8,106,.595,CHI,21-174,0,16.1
14.3,52.6,90,.500,DEN,21-281,0,0.0
 ,0.0, , ,SAC,21-253,0,0.0
0.0,27.5,200,1.000,CLE,21-258,0,0.0
 ,0.0, , ,SAC,21-278,0,0.0
0.0,21.7,146,.637,GSW,21-295,0,8.6
 ,0.0, , ,ATL,21-301,0,0.0
0.0,8.4,146,.667,CHH,21-255,0,8.1
50.0,28.6,0,.000,CHH,21-269,0,0.0
25.0,14.8,60,.333,LAC,21-213,0,10.7
20.2,41.3,61,.254,CLE,21-158,0,0.0
 ,0.0, , ,UTA,21-224,0,0.0
0.0,37.5,250,1.136,LAC,21-279,0,0.0
50.0,16.5,70,1.000,CHI,21-196,0,0.0
 ,0.0, , ,PHI,21-157,0,0.0
12.9,25.3,71,.296,MIA,21-160,0,0.0
0.0,15.6,204,1.000,DAL,21-241,0,0.0
100.0,5.2,0, ,CHI,21-266,0,0.0
0.0,14.2,0,.000,ATL,21-220,0,0.0
