FTA,FGA,Player,BPG
2.1,6.0,Tim Doyle,0.2
4.6,12.6,Daniel Horton,0.3
0.7,2.2,Michael Jenkins,0.1
2.9,9.7,Travis Parker,0.3
0.8,5.7,Jamar Smith,0.0
3.2,13.1,Dee Brown,0.0
3.0,7.0,Jamar Butler,0.2
2.4,6.3,Chris Hunter,1.0
2.5,7.2,J.J. Sullinger,0.6
2.5,6.6,Brian Randle,0.5
3.4,8.9,Maurice Hargrow,0.1
2.4,8.4,Marshall Strickland,0.2
0.4,5.9,Craig Moore,0.1
6.0,10.6,Greg Brunner,0.6
1.3,9.7,Dion Harris,0.1
1.4,8.3,Chris Lutz,0.2
3.8,11.0,Jeff Horner,0.1
0.7,3.0,Vince Scott,0.7
3.6,11.7,Kammron Taylor,0.1
0.5,5.4,Ray Nixon,0.3
1.1,5.2,Ron Coleman,0.1
1.6,3.2,Joe Krabbenhoft,0.2
1.1,7.1,Matt Sylvester,0.2
1.3,2.7,Lewis Monroe,0.1
5.2,12.8,Geary Claxton,0.7
6.4,12.8,Vincent Grier,0.2
1.9,6.1,Mooch Jackson,0.1
1.0,6.3,Ben Luber,0.1
4.3,7.3,Ron Lewis,0.1
1.3,7.1,Drew Neitzel,0.1
2.0,5.6,Gary Ware,0.8
1.5,6.9,Dan Coleman,0.7
1.8,3.5,Jason Chappell,0.6
2.2,9.1,Je'Kel Foster,0.2
1.6,3.9,Doug Thomas,0.8
3.2,6.8,Courtney Sims,1.5
