TOV%,USG%,TRB%,Rk,GmSc,GS,ORB%,DRtg
25.0,15.6,10.9,61,0.2,0,0.0,97
66.7,5.7,10.1,74,1.6,0,5.3,126
0.0,13.9,10.5,64,15.6,0,0.0,95
34.7,10.4,9.8,16,6.9,1,0.0,109
0.0,4.9,0.0,72,1.3,0,0.0,128
50.0,8.8,12.5,71,0.6,0,12.0,105
25.0,15.1,10.3,79,-0.5,0,0.0,120
0.0,10.8,0.0,40,0.7,0,0.0,110
16.7,8.6,1.6,12,6.9,1,0.0,90
40.3,7.7,8.8,4,9.2,1,0.0,114
0.0,5.1,16.9,48,3.6,0,16.7,111
0.0,4.8,5.9,57,-0.1,0,5.0,103
66.7,7.7,0.0,36,0.4,1,0.0,105
 ,0.0,0.0,58,0.3,0,0.0,111
0.0,4.1,7.5,78,2.2,1,5.9,137
20.0,6.0,3.3,20,6.3,1,0.0,100
 ,0.0,0.0,50,0.0,0,0.0,103
0.0,6.4,0.0,66,2.4,0,0.0,136
0.0,7.4,13.3,63,4.0,0,9.1,103
22.5,5.2,4.6,8,9.1,1,0.0,121
14.5,17.8,3.3,41,1.2,0,6.9,97
20.0,8.8,11.0,24,0.0,1,0.0,97
0.0,2.7,3.8,3,5.0,1,0.0,106
20.0,6.2,5.1,1,7.1,1,3.0,124
0.0,16.1,9.6,73,3.3,0,5.8,118
0.0,6.8,4.4,27,5.3,1,0.0,117
66.7,11.8,0.0,28,-2.2,1,0.0,124
0.0,14.4,0.0,76,3.0,0,0.0,117
0.0,4.0,5.9,60,4.4,0,8.6,108
51.5,6.5,2.8,25,1.9,1,0.0,121
20.0,6.6,1.6,7,1.9,1,0.0,107
9.3,12.8,3.4,5,10.1,1,2.8,127
0.0,17.4,0.0,42,-1.5,0,0.0,123
 ,0.0,0.0,70,0.0,0,0.0,110
33.3,7.8,3.7,45,4.3,0,0.0,100
0.0,4.4,0.0,68,1.4,0,0.0,116
0.0,10.7,0.0,69,-1.4,0,0.0,115
0.0,3.1,0.0,52,0.7,0,0.0,115
 ,0.0,0.0,67,1.7,0,0.0,120
50.0,3.8,2.6,30,5.8,0,0.0,110
25.4,9.0,10.0,6,10.0,1,6.5,103
0.0,10.7,0.0,32,3.4,1,0.0,112
