3b,e,k,ab,a,sf,h,hbp,sb
0,1,9,41,13,1,18,1,1
0,0,4,44,13,0,18,0,1
1,6,6,47,15,1,21,4,1
0,0,10,32,11,0,5,1,0
0,0,3,30,11,0,7,0,1
0,2,3,34,13,2,12,0,1
0,0,6,36,9,0,14,1,0
1,1,7,34,10,1,11,0,0
1,1,8,36,9,2,16,1,2
0,0,7,33,11,0,7,1,1
0,2,6,32,12,0,11,0,2
0,1,4,31,13,1,6,2,0
0,0,4,35,24,1,11,1,0
0,0,10,28,7,0,4,0,1
0,0,7,35,10,1,13,0,7
1,1,6,41,14,1,15,2,3
0,2,7,32,11,0,5,3,0
18,67,331,1801,607,33,540,51,59
0,2,6,29,8,1,5,3,1
0,2,2,36,8,0,12,2,3
3,1,4,31,5,1,9,1,1
0,0,10,34,6,0,8,1,0
0,2,8,34,10,1,11,0,0
0,0,8,32,14,1,6,0,0
0,1,6,33,10,1,10,0,1
0,1,3,33,12,1,10,0,2
1,1,8,36,15,0,12,1,0
1,3,3,35,15,1,14,1,0
0,2,3,40,15,0,13,0,1
