RPG,FGA,BPG,3PM,APG,#,GP
6.2,7.2,0.9,0.8,1.3,46,17
0.6,6.1,0.2,1.6,1.9,20,17
1.7,8.0,0.0,1.7,1.3,99,26
1.9,5.8,0.0,0.6,4.3,68,38
1.7,3.7,0.0,0.6,2.8,95,26
5.5,5.5,1.0,0.5,1.0,23,2
4.6,14.9,0.0,2.2,8.1,91,34
1.7,5.8,0.2,1.7,1.0,73,36
6.5,14.0,0.0,4.0,4.5,8,2
4.1,7.9,0.3,2.4,1.6,65,28
3.0,5.0,0.0,1.0,1.0,12,2
2.5,8.5,0.3,1.6,0.9,72,41
4.0,6.6,0.1,1.8,1.7,41,37
1.8,9.3,0.0,3.3,1.1,45,36
2.6,4.5,0.3,1.0,1.2,31,25
1.8,5.0,0.0,0.2,0.4,4,5
4.5,6.3,0.5,0.0,0.2,25,6
1.8,2.9,0.0,0.3,1.5,42,25
1.5,5.0,0.1,1.1,2.0,58,55
2.7,6.7,0.0,0.7,7.0,22,3
5.3,10.7,0.0,1.0,1.3,34,3
1.8,6.0,0.2,1.2,3.0,37,4
6.0,7.0,0.5,0.8,1.5,75,30
3.0,10.0,0.0,0.0,3.7,24,3
4.5,12.1,0.2,2.3,2.4,53,27
7.5,5.5,0.5,0.8,0.8,15,4
1.3,5.3,0.0,1.0,0.0,27,3
2.1,7.6,0.0,2.4,0.5,64,28
2.5,5.3,0.0,0.5,3.1,54,24
4.3,18.8,0.1,3.0,3.3,49,22
1.3,5.4,0.0,0.7,0.5,26,37
1.6,4.8,0.0,1.8,0.7,57,38
1.2,6.0,0.1,1.7,2.3,33,32
6.0,8.5,0.0,0.5,0.0,100,2
3.9,15.1,0.1,2.7,4.2,98,40
1.7,7.7,0.0,2.7,6.3,94,3
2.8,7.4,0.2,0.8,1.2,55,16
1.7,4.4,0.1,0.8,1.1,29,34
3.1,13.0,0.1,2.5,3.2,69,46
6.6,16.8,0.4,0.4,0.6,35,5
0.9,3.7,0.0,0.9,0.8,17,23
2.5,12.5,0.0,2.5,5.8,96,4
2.5,4.0,0.2,0.2,1.2,6,4
3.8,6.6,0.0,2.0,2.9,71,28
2.5,5.0,0.5,1.0,0.0,32,2
3.6,11.4,0.0,1.9,1.9,78,14
2.1,6.8,0.0,2.1,0.8,66,26
3.0,5.2,0.0,1.0,1.2,3,5
3.2,4.8,0.8,0.0,0.8,7,4
1.4,4.4,0.0,0.8,2.0,79,24
3.1,8.9,0.3,2.2,0.9,62,34
5.9,11.4,0.8,1.8,1.7,76,50
2.3,8.7,0.0,1.0,1.7,14,3
3.4,8.6,0.1,2.2,1.9,39,16
1.6,7.6,0.0,1.2,4.0,51,35
2.3,12.1,0.0,2.3,5.4,80,38
3.0,6.2,0.3,0.3,0.4,44,21
0.5,12.5,0.0,3.5,3.5,38,2
4.0,13.8,0.0,1.2,0.8,2,4
3.2,7.8,0.1,1.7,4.7,87,31
