Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Sep 7,Methodist,"L, 33-20",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 14,at N.C. Wesleyan,"W, 24-21",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 21,at VU-Lynchburg,"W, 33-30",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 28,at The College of New Jersey,"L, 7-2",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 12,Warner,"W, 35-20",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 19,Apprentice School,"W, 34-7",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 26,Bluefield Col.,"W, 44-18",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 2,at Apprentice School,"W, 38-6",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 9,Alfred St.,"W, 30-0",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 16,Southwestern (Tex.),"W, 40-0",1,0,1,-,-,0,-,-,-,-,-,-,-,-
