col17,col5,col9,col4
Poland,W,23,M
Germany,W,4,M
Poland,W,7,F
Penn.,W,6,M
Germany,W,13,M
Norway,W,14,F
Canada,W,9,F
Poland,W,hours 5,F
Poland,W,19,M
Germany,W,10,M
Poland,W,21,M
Dennm,W,9,F
Poland,W,1,M
France,W,0,M
Poland,W,6,M
Germany,W,0,M
Michigan,W,10,M
Denmark,W,27,M
New York,W,0,F
Canada,W,1,F
Sweden,W,13,F
Germany,W,2,M
Germany,W,9,M
Scotland,W,7,M
Poland,W,1,M
Michigan,W,14,M
Unknown,W,29,F
Poland,W,0,M
Germany,W,0,M
Ohio,W,16,M
Canada,W,11,F
Michigan,W,3,F
Poland,W,18,F
England,W,22,F
Iowa,W,28,M
Poland,W,10,F
Sweden,W,30,F
Germany,W,2,F
Denmark,W,10,M
Poland,W,22,F
Norway,W,0,M
Germany,W,22,F
Germany,W,27,M
Poland,W,16,F
Poland,W,22,F
England,W,16,M
Sweden,W,0,F
Sweden,W,0,M
Michigan,W,17,F
Germany,W,19,F
Not Known,W,0,F
Germany,W,12,F
Wisconsin,W,14,M
New York,W,11,F
Michigan,W,10,F
Michigan,W,26,M
Germany,W,23,M
Germany,W,18,F
Germany,W,29,F
Michigan,W,17,F
Pennsylvania,W,6,M
Germany,W,24,M
Germany,W,24,M
Poland,W,8,M
Germany,W,0,M
Poland,W,21,M
Canada,W,25,F
Denmark,W,19,M
England,W,9,M
Germany,W,4,M
Sweden,W,0,F
Unknown,W,5,F
Germany,W,3,M
Poland,W,0,F
Poland,W,6,F
Norway,W,17,M
