Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Aug 29,Concord,"L, 63-10",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 5,at Morehead State,"L, 61-10",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 12,at Lincoln (Pa.),"L, 29-8",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 19,at Brevard,"L, 42-7",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sep 26,Ferrum College,"L, 28-21",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 2,at Guilford,"L, 48-6",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 17,George Mason,"W, 51-12",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 24,at Gardner-Webb,"L, 65-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 31,Radford,"W, 40-20",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 7,at Webber Int'l,"L, 24-17",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 14,at Apprentice School,"W, 14-10",-,-,-,-,-,-,-,-,-,-,-,-,-,-
