#,Name,Team,GP,AB,R,H,1B,2B,3B,HR,TB,BB,RBI,HBP,SO,SB,CS,GDP,AVG,OBP,SLG,OPS,SF
74,Mo Hamdan,MK,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1.0,1.0,1.0,2.0,0
08,Khalid Basyuni,KENT,1,2,1,2,0,2,0,0,4,0,1,0,0,0,0,0,1.0,1.0,2.0,3.0,0
88,Dave Ratcliff,KENT,2,2,3,2,2,0,0,0,2,3,3,0,0,0,0,0,1.0,1.0,1.0,2.0,0
X,Zach Stroman,LDN-MA,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0
 ,Mike Archibald,RCH,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0
85,Sam Ratcliff,KENT,4,13,7,9,6,1,1,0,11,2,3,1,2,1,1,0,0.692,0.75,0.846,1.596,0
17,Ryan Greeney,MK,3,12,5,8,5,3,0,0,11,2,7,0,1,6,0,1,0.667,0.714,0.917,1.631,0
37,Tadashi Kawata,MK,4,14,8,9,8,1,0,0,10,4,5,1,0,5,0,0,0.643,0.737,0.714,1.451,0
9,Sebastian O Dell,NOT,10,41,25,26,15,5,1,5,48,3,26,0,4,22,0,0,0.634,0.659,1.171,1.83,0
 ,Matt Wilson,DAW,2,8,3,5,4,1,0,0,6,1,6,0,0,0,0,0,0.625,0.667,0.75,1.417,0
06,Dan Wilson,KENT,6,16,6,10,4,5,0,1,18,4,8,0,4,1,0,0,0.625,0.7,1.125,1.825,0
7,Phillip Wells,HAR,15,50,36,31,19,7,1,4,52,11,29,0,2,0,0,0,0.62,0.667,1.04,1.707,2
7,Kyle Dooley,GUI,7,23,12,14,8,6,0,0,20,2,11,0,2,6,2,0,0.609,0.64,0.87,1.51,0
23,Sacha McKay,MK,1,5,1,3,2,1,0,0,4,0,3,0,0,0,0,0,0.6,0.6,0.8,1.4,0
23,Dicky Gofton,KENT,3,10,8,6,6,0,0,0,6,4,3,0,1,0,0,0,0.6,0.714,0.6,1.314,0
 ,Ishan Khurana,HAR,2,5,0,3,3,0,0,0,3,1,2,0,0,0,0,0,0.6,0.667,0.6,1.267,0
36,Shannon Henry,NOT,15,60,33,35,21,9,3,2,56,10,41,0,4,13,0,0,0.583,0.643,0.933,1.576,0
10,Greg Koabel,NOT,9,30,17,17,11,6,0,0,23,3,17,1,0,3,0,0,0.567,0.6,0.767,1.367,1
21,Paul Marc Yirrell,KENT,6,13,6,7,6,1,0,0,8,5,5,2,3,1,0,0,0.538,0.7,0.615,1.315,0
15,sandy rosendo torres,NOT,6,15,8,8,4,2,0,1,12,2,8,0,2,3,0,0,0.533,0.588,0.8,1.388,0
1,Masashi Sato,SWN,6,27,11,14,8,5,0,1,22,0,14,0,1,3,0,0,0.519,0.519,0.815,1.333,0
6,Tetsuro Shinkawa,GUI,13,39,29,20,17,3,0,0,23,20,17,2,3,22,3,0,0.513,0.677,0.59,1.267,1
5,Peter Powell,HAR,16,53,21,27,25,1,0,1,31,6,23,1,5,0,0,0,0.509,0.567,0.585,1.152,0
25,oscar martinez,NOT,15,59,23,30,20,8,0,2,44,9,28,1,1,19,2,0,0.508,0.58,0.746,1.325,0
 ,Keith Nettleton,HUL,4,6,4,3,3,0,0,0,3,6,2,0,1,0,0,0,0.5,0.75,0.5,1.25,0
 ,Peter Benn,HUL,2,6,4,3,3,0,0,0,3,1,4,1,1,0,0,0,0.5,0.625,0.5,1.125,0
10,Ronan Dunne,MAN-T,2,4,3,2,1,0,0,0,1,2,3,0,0,0,0,0,0.5,0.667,0.25,0.917,0
28,Matthew Foster,LEI,1,2,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0.5,0.5,0.5,1.0,0
35,Walter Lin,MK,4,8,5,4,3,1,0,0,5,1,2,1,1,3,0,1,0.5,0.6,0.625,1.225,0
28,Daniel Straw,NOT,4,6,1,3,3,0,0,0,3,1,2,0,1,0,0,0,0.5,0.5,0.5,1.0,1
