Team,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
GCL Nationals,0.281,58,1881,319,528,98,16,15,259,184,392,110,47,21,13,31,0.359,0.374,0.732
GCL Tigers,0.257,60,1900,278,488,87,18,30,244,193,426,45,23,23,28,33,0.338,0.369,0.707
GCL Pirates,0.256,60,1969,274,505,98,27,13,240,180,418,50,27,44,17,31,0.331,0.353,0.684
GCL Phillies,0.255,60,1964,267,500,91,17,35,224,198,434,46,32,15,9,53,0.332,0.372,0.704
GCL Yankees2,0.254,60,1966,286,500,118,19,24,242,218,436,88,29,9,26,56,0.337,0.37,0.707
GCL Astros,0.246,60,1948,272,480,95,24,23,237,177,429,69,41,22,19,32,0.321,0.355,0.677
GCL Cardinals,0.243,59,1938,234,471,83,20,19,194,167,439,48,32,8,24,40,0.311,0.336,0.647
GCL Rays,0.241,60,1907,220,460,69,28,5,175,176,482,78,32,10,9,32,0.314,0.315,0.628
GCL Orioles,0.24,60,1901,225,456,93,15,16,195,210,419,68,28,16,15,56,0.323,0.33,0.653
GCL Braves,0.236,60,1933,248,456,75,14,7,212,198,483,81,28,18,12,35,0.316,0.3,0.616
GCL Mets,0.236,60,1906,236,449,69,16,15,203,224,496,61,30,15,21,46,0.323,0.312,0.635
GCL Blue Jays,0.235,60,1937,265,455,92,22,20,230,214,466,40,18,10,16,39,0.322,0.336,0.658
GCL Red Sox,0.235,60,1836,216,431,112,15,5,186,206,475,85,36,20,19,27,0.323,0.32,0.643
GCL Yankees1,0.233,60,2011,252,468,104,17,20,219,198,513,53,19,14,13,42,0.309,0.331,0.641
GCL Twins,0.227,60,1915,238,435,85,25,25,202,184,397,72,20,16,25,25,0.304,0.337,0.641
GCL Marlins,0.213,59,1817,182,387,74,12,20,157,179,447,16,14,2,7,38,0.301,0.3,0.601
