Date,Opponent,Score,w,l,sv,ip,h,r,er,era,bb,k,hr
Feb 6,VU-Lynchburg,"W, 19-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 6,VU-Lynchburg,"W, 22-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 8,vs. Rochester (Mich.),"W, 15-4",0,0,0,3.0,7,4,4,12.00,2,1,-
Feb 8,vs. Rochester (Mich.),"W, 12-2",-,-,-,-,-,-,-,-,-,-,-
Feb 15,New Jersey City,"W, 12-11",0,0,0,6.2,10,8,4,5.40,0,3,-
Feb 16,at Va. Wesleyan,"L, 8-6",-,-,-,-,-,-,-,-,-,-,-
Feb 16,at Va. Wesleyan,"L, 6-1",-,-,-,-,-,-,-,-,-,-,-
Feb 22,at Virginia Intermont,"L, 11-7",0,1,0,5.2,9,8,7,11.12,3,2,-
Feb 23,at Virginia Intermont,"L, 8-1",-,-,-,-,-,-,-,-,-,-,-
Feb 23,at Virginia Intermont,"W, 7-2",-,-,-,-,-,-,-,-,-,-,-
Feb 27,at Washington and Lee,"W, 14-8",0,0,0,1.2,5,3,2,10.80,1,2,-
Mar 2,at Mary Washington,"W, 4-2",-,-,-,-,-,-,-,-,-,-,-
Mar 2,at Mary Washington,"L, 6-5",-,-,-,-,-,-,-,-,-,-,-
Mar 9,vs. Penn-Tech,"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
Mar 9,vs. Penn-Tech,"W, 6-5",1,0,0,1.0,0,0,0,0.00,1,1,-
Mar 14,at Washington and Lee,"W, 8-7",0,0,1,0.2,1,0,0,0.00,0,0,-
Mar 15,at Virginia St.,"L, 7-0",-,-,-,-,-,-,-,-,-,-,-
Mar 15,at Virginia St.,"L, 7-6",0,0,0,0.2,1,0,0,0.00,0,0,-
Mar 20,at Ferrum College,"W, 5-0",-,-,-,-,-,-,-,-,-,-,-
Mar 23,at Lynchburg,"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 23,at Lynchburg,"L, 5-3",0,0,0,2.1,3,2,2,7.71,0,1,-
Mar 30,at Apprentice School,"L, 3-0",-,-,-,-,-,-,-,-,-,-,-
Mar 30,at Apprentice School,"L, 4-2",0,0,0,1.1,2,0,0,0.00,1,0,-
Apr 3,at East. Mennonite,"W, 13-6",1,0,0,5.0,11,4,1,1.80,0,1,-
Apr 9,at VU-Lynchburg,"W, 9-0",-,-,-,-,-,-,-,-,-,-,-
Apr 9,at VU-Lynchburg,"W, 9-0",-,-,-,-,-,-,-,-,-,-,-
Apr 10,vs. Christendom,"W, 23-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 10,vs. Christendom,"W, 10-7",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 11,at Roanoke,"L, 5-2",0,1,0,5.0,8,3,1,1.80,-,2,-
Apr 13,at Guilford,"W, 17-7",-,-,-,-,-,-,-,-,-,-,-
Apr 13,at Guilford,"L, 7-6",0,0,0,0.0,1,0,0,0.00,0,0,-
Apr 17,vs. East. Mennonite,"L, 12-5",-,-,-,-,-,-,-,-,-,-,-
May 6,vs. Cincinnati-Clermont,"L, 6-0",-,-,-,-,-,-,-,-,-,-,-
May 7,vs. Penn-Tech,"L, 2-1",-,-,-,-,-,-,-,-,-,-,-
