Game Date,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
1968-06-25,SFN,LAN,W 9-0 vs LAN,3,1,1,0,0,1,4,0,0,0,1,1,0,0,0,0,1,"1st career game, 1st career hit, 1st career home run, 1st career RBI"
1968-07-02,SFN,ATL,W 5-0 vs ATL,4,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,8,1st career stolen base
1968-07-11,SFN,CIN,W 7-1 @CIN,4,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,14,4 strikeouts
1968-08-20,SFN,NYN,L 0-8 @NYN,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,42,4 strikeouts
1968-08-27,SFN,CHN,W 8-4 vs CHN,4,2,2,0,0,2,6,0,0,1,1,0,0,0,0,0,49,"2 home runs, 6 RBIs"
1968-09-19,SFN,SLN,W 11-5 vs SLN,3,4,3,0,0,2,3,1,0,1,0,0,0,1,0,0,73,"2 home runs, 4 runs scored"
1969-04-29,SFN,CIN,W 4-3 vs CIN,7,2,4,0,0,1,3,0,0,0,2,0,0,0,0,0,101,4 hits
1969-06-28,SFN,CIN,W 12-5 @CIN,5,4,2,0,0,1,1,0,0,1,1,0,0,0,0,0,150,4 runs scored
1969-07-04,SFN,ATL,W 7-6 vs ATL,4,2,2,0,0,2,2,0,0,1,1,0,0,0,0,0,156,2 home runs
1969-07-12,SFN,LAN,L 2-3 @LAN,6,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,166,4 strikeouts
1969-07-17,SFN,LAN,W 14-13 vs LAN,5,3,3,0,0,2,5,0,0,0,1,0,0,0,0,0,170,"2 home runs, 5 RBIs"
1969-08-21,SFN,NYN,W 7-6 @NYN,5,2,2,0,0,2,4,0,0,0,2,0,0,0,0,0,199,2 home runs
1969-08-26,SFN,PHI,W 13-4 vs PHI,4,2,2,0,0,2,5,0,0,0,1,0,0,0,0,0,204,"2 home runs, 5 RBIs"
1970-04-15,SFN,HOU,L 6-7 @HOU,4,1,1,0,0,0,1,3,0,2,0,0,0,0,0,0,249,3 stolen bases
1970-04-16,SFN,HOU,W 11-9 @HOU,6,2,4,0,1,0,1,1,0,0,0,0,0,0,0,0,250,4 hits
1970-05-05,SFN,MON,W 4-1 @MON,4,1,2,0,0,0,2,3,0,1,1,0,0,0,0,0,266,3 stolen bases
1970-05-30,SFN,PIT,W 13-11 @PIT,6,1,2,0,1,0,1,0,0,0,4,0,0,0,0,0,288,4 strikeouts
