2001- 2003,1956- 1960,1906- 1910,1936- 1940
528,"2,140",494,698
158,"1,170",2,428
77,386,26,320
"10,655","51,434","3,851","30,099"
7,69,6,82
265,"1,369",248,"1,143"
175,321,38,328
377,"1,479",119,"4,067"
71,401,42,127
476,712,69,507
59,216,2,62
71,337,2,335
117,772,23,220
34,58,2,17
36,145,10,309
370,675,91,482
36,379,93,289
829,"1,714",444,"1,198"
80,405,32,349
298,"1,661",430,"1,773"
301,"1,745",13,805
462,"1,468",7,601
297,"1,144",1,196
32,112,5,97
73,398,10,120
422,793,10,575
233,838,20,372
