Date,Opponent,Score,w,l,sv,ip,h,r,er,era,bb,k,hr
Feb 15,at UNC Wilmington,"W, 5-3",-,-,-,-,-,-,-,-,-,-,-
Feb 15,vs. Liberty,"L, 12-0",0,0,0,0.2,1,0,0,0.00,0,1,-
Feb 16,vs. Norfolk St.,"W, 5-3",-,-,-,-,-,-,-,-,-,-,-
Feb 16,at UNC Wilmington,"L, 4-3",0,1,0,6.0,6,4,4,4.67,2,3,1
Feb 21,vs. Niagara,"W, 3-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 21,vs. Iona,"W, 13-9",0,0,0,3.1,10,7,7,14.70,3,1,2
Feb 22,at Elon,"W, 3-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 22,vs. Iona,"W, 10-8",1,0,0,3.2,4,4,2,3.82,2,4,1
Feb 26,at George Mason, ,-,-,-,-,-,-,-,-,-,-,-
Mar 1,vs. Delaware,"W, 8-5",-,-,-,-,-,-,-,-,-,-,-
Mar 1,at Norfolk St.,"L, 3-2",0,1,0,7.0,5,3,2,2.00,1,7,1
Mar 2,vs. Monmouth,"W, 8-3",-,-,-,-,-,-,-,-,-,-,-
Mar 2,at Norfolk St.,"W, 8-1",-,-,-,-,-,-,-,-,-,-,-
Mar 6,Buffalo, ,-,-,-,-,-,-,-,-,-,-,-
Mar 8,at UMES,"W, 7-4",-,-,-,-,-,-,-,-,-,-,-
Mar 8,at UMES,"W, 13-0",1,0,0,5.0,0,0,0,0.00,0,10,-
Mar 9,at UMES,"L, 4-3",0,1,0,0.2,3,2,2,21.00,0,2,-
Mar 9,at UMES,"W, 3-2",0,0,0,3.0,5,2,1,2.33,1,1,-
Mar 11,Rhode Island,"W, 9-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 11,Rhode Island,"W, 6-0",1,0,0,7.0,3,0,0,0.00,2,2,-
Mar 12,at Towson,"L, 8-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 14,Drexel,"W, 3-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 14,Rhode Island,"W, 2-1",-,-,-,-,-,-,-,-,-,-,-
Mar 15,Niagara,"L, 5-3",0,1,0,6.0,6,5,5,5.83,4,4,-
Mar 16,Drexel, ,-,-,-,-,-,-,-,-,-,-,-
Mar 16,Hampton,"W, 6-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 22,Saint Peter's,"L, 4-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 22,Sacred Heart,"L, 2-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 22,Sacred Heart,"W, 14-10",1,0,0,5.0,4,10,2,2.80,3,3,2
Mar 23,Saint Peter's,"W, 10-0",-,-,-,-,-,-,-,-,-,-,-
Mar 23,Mount St. Mary's,"L, 5-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 27,at George Washington,"W, 10-6",-,-,-,-,-,-,-,-,-,-,-
Mar 30,Stony Brook, ,-,-,-,-,-,-,-,-,-,-,-
Apr 1,Stony Brook,"L, 3-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 1,Stony Brook,"L, 2-1",0,1,0,5.1,6,2,2,2.63,3,2,1
Apr 2,at Howard,"W, 10-6",1,0,0,2.1,1,0,0,0.00,1,1,-
Apr 2,at Howard,"W, 10-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 5,at Binghamton,"L, 6-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 6,at Binghamton,"L, 9-6",0,1,0,4.0,9,6,6,10.50,1,5,3
Apr 6,at Binghamton,"L, 3-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 9,Georgetown,"L, 8-6",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 11,at Maine,"W, 3-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 12,at Maine,"L, 8-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 12,at Maine,"W, 7-6",1,0,0,4.0,6,6,6,10.50,2,0,1
Apr 18,UMass Lowell,"W, 10-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 18,UMass Lowell,"W, 7-5",1,0,0,3.0,2,1,1,2.33,4,4,-
Apr 19,UMass Lowell,"W, 6-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 22,La Salle,"L, 5-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 22,La Salle,"W, 4-0",-,-,-,-,-,-,-,-,-,-,-
Apr 26,at Hartford, ,-,-,-,-,-,-,-,-,-,-,-
Apr 27,at Hartford,"W, 7-5",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 27,at Hartford,"W, 5-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 28,at Hartford,"W, 10-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 30,Coppin State, ,-,-,-,-,-,-,-,-,-,-,-
May 2,Albany,"L, 8-0",0,1,0,3.2,8,7,7,13.36,4,1,1
May 2,Albany,"L, 5-3",0,0,0,0.0,-,-,-,0.00,-,-,-
May 3,Albany,"L, 6-1",0,0,0,0.0,-,-,-,0.00,-,-,-
May 8,at Stony Brook,"L, 16-1",0,0,0,0.0,-,-,-,0.00,-,-,-
May 9,vs. Binghamton,"L, 2-1",0,0,0,0.0,-,-,-,0.00,-,-,-
