2B,GIDP,SH,HR
1,0,0,0
3,2,0,3
21,11,8,7
0,0,0,0
12,9,0,9
7,4,5,2
8,3,0,1
6,3,2,1
4,0,1,0
11,7,0,4
1,0,0,0
0,0,0,0
1,0,1,0
28,5,0,21
12,9,2,7
16,19,7,2
0,0,0,0
33,4,2,4
14,7,1,7
1,0,0,1
2,0,1,0
41,7,2,14
6,5,2,2
19,15,3,11
0,0,0,0
4,5,0,0
3,0,1,0
0,0,0,0
17,12,0,12
9,2,1,0
0,0,0,0
6,5,1,1
2,1,0,3
3,1,0,1
23,10,0,5
1,1,0,1
13,7,2,6
10,5,0,5
11,7,3,4
5,6,0,2
0,0,0,0
16,12,3,7
14,8,0,12
13,9,0,6
6,6,0,3
23,10,0,4
13,7,11,0
0,0,1,0
16,5,0,2
6,2,1,8
2,0,2,1
18,6,1,5
3,0,1,0
2,1,1,1
28,10,11,5
27,9,1,8
4,0,1,1
12,5,9,4
1,1,0,0
17,7,8,1
0,3,0,0
0,0,1,0
0,0,5,0
1,0,0,0
21,5,0,2
3,3,0,1
10,0,1,2
12,18,5,7
2,2,2,0
17,3,9,2
1,1,0,0
2,0,1,0
3,0,0,1
11,5,1,2
1,0,0,0
37,17,4,15
11,6,12,2
6,1,1,3
8,5,5,3
5,2,1,1
4,4,3,2
1,1,0,0
0,0,0,0
26,8,4,13
5,3,0,2
19,5,7,11
8,2,0,1
5,2,3,1
21,3,1,11
2,0,0,1
11,6,0,6
0,1,0,0
5,5,0,3
2,0,0,1
1,0,0,1
5,1,0,3
