Rpos,WAR,162WL%,Rrep,RAR,Salary,oRAR
65,11.4,.499,184,130,"$56,819,519",177
0,0.0,.500,0,0, ,0
2,0.1,.500,0,0, ,0
0,-0.0,.500,0,-0,"$327,000",-0
0,0.1,.500,1,1,"$2,000,000",0
1,-0.1,.499,0,-1,"$343,500",-1
2,-0.3,.495,5,-3, ,-1
-3,1.4,.502,11,15,"$1,850,000",12
0,0.0,.500,0,0,"$1,500,000",0
15,0.2,.501,0,2,"$3,000,000",2
0,0.0,.500,0,0, ,0
0,0.0,.500,0,0, ,0
0,0.0,.500,0,0, ,0
0,0.0,.500,0,0, ,0
0,0.0,.500,0,0, ,0
-0,0.6,.503,1,6, ,2
0,0.0,.500,0,0, ,0
-0,1.4,.500,15,15,"$1,300,000",22
0,0.0,.500,0,0, ,0
2,0.1,.501,0,1, ,1
4,0.4,.496,12,4,"$2,700,000",15
-6,0.4,.490,21,5,"$7,500,000",23
0,-0.0,.500,0,-0, ,-0
5,0.1,.500,0,1, ,1
0,0.0,.500,0,0,"$1,550,000",0
4,0.5,.493,18,6, ,14
4,-0.2,.499,0,-2,"$370,000",-2
-1,0.5,.501,4,5,"$327,000",1
