STL%,GmSc,TOV%,AST%,DRB%,G,ORB%,Tm,Opp
0.0,-0.1,0.0,0.0,0.0,43,0.0,PHI,NJN
13.0,-0.1,0.0,0.0,20.7,63,0.0,PHI,LAC
9.5,9.7,25.0,11.3,13.9,30,3.6,PHI,UTA
3.0,2.7,33.3,20.8,8.3,1,0.0,PHI,MIL
0.0,8.7,36.8,18.2,13.0,69,24.6,PHI,ATL
16.6,1.5,0.0,11.9,0.0,71,0.0,PHI,TOR
0.0,1.9,0.0,8.3,6.3,68,5.9,PHI,CLE
3.2,0.5,20.0,34.6,0.0,22,0.0,PHI,DET
0.0,5.5,50.8,45.7,15.4,5,14.8,PHI,SEA
0.0,-2.1,100.0,11.1,0.0,4,0.0,PHI,MIL
5.1,7.4,0.0,36.5,0.0,11,9.1,PHI,IND
0.0,1.6,25.4,9.4,6.0,50,18.0,PHI,NYK
9.3,1.0,33.3,24.5,0.0,40,43.1,PHI,ATL
0.0,3.7,0.0,61.5,0.0,24,14.5,PHI,GSW
10.2,1.8,33.3,24.2,13.1,45,0.0,PHI,IND
3.5,6.9,29.1,17.0,35.6,64,16.4,PHI,TOR
1.4,12.6,0.0,3.8,12.2,29,12.4,PHI,LAL
0.0,0.8,25.5,12.6,18.0,15,14.6,PHI,ORL
0.0,5.0,23.1,11.1,23.1,38,0.0,PHI,TOR
3.5,4.6,25.4,16.7,7.5,70,0.0,PHI,CHI
0.0,-1.8,0.0,0.0,0.0,54,0.0,PHI,ATL
3.9,2.0,37.5,13.1,14.6,14,20.2,PHI,NYK
3.2,3.6,44.4,30.0,34.3,13,8.3,PHI,NJN
0.0,3.3,22.5,32.1,6.3,20,18.0,PHI,MIN
0.0,-0.5,0.0,21.4,8.6,47,0.0,PHI,PHO
6.2,5.7,33.3,31.9,5.4,33,7.2,PHI,GSW
0.0,-0.4,0.0,0.0,20.0,60,0.0,PHI,NJN
0.0,2.0,0.0,0.0,0.0,55,0.0,PHI,NYK
0.0,-2.2,50.0,0.0,13.6,42,9.4,PHI,DAL
0.0,2.3,33.3,0.0,9.4,44,0.0,PHI,CLE
0.0,-0.1,50.0,0.0,0.0,46,0.0,PHI,NJN
4.8,7.9,36.2,0.0,11.5,66,23.0,PHI,CHH
0.0,-1.1,100.0,18.6,33.3,62,0.0,PHI,WAS
0.0,1.9,15.5,0.0,8.6,8,10.9,PHI,WAS
0.0,10.0,9.3,17.4,13.6,26,17.8,PHI,POR
6.9,2.6,0.0,0.0,0.0,56,14.0,PHI,DET
8.1,1.9,17.0,36.4,0.0,10,0.0,PHI,CLE
0.0,-0.4,100.0,40.0,24.5,18,0.0,PHI,NYK
0.0,-1.2,0.0,0.0,29.6,23,0.0,PHI,DET
4.2,7.2,0.0,0.0,21.6,25,7.4,PHI,SAC
0.0,2.0,0.0,46.2,0.0,59,26.1,PHI,DET
3.4,3.7,0.0,10.3,15.4,3,0.0,PHI,ATL
4.3,3.9,0.0,0.0,11.2,57,0.0,PHI,UTA
