col18,col4,col7,col13,col14,col22,col9
-,-,-,-,-,7.05,-
-,-,-,-,-,7.03,-
[04],-,-,11.029,(0.012),-,-
[03],-,-,11.124,(0.007),-,-
[03],12.882,12.715,11.840,(0.008),-,[41]
N,Z,Y,H,err,M,N
-,-,-,-,-,6.84,-
[04],13.941,14.091,14.164,(0.017),-,[9]
-,-,-,-,-,6.63,-
[02],-,-,10.919,(0.019),-,-
-,-,-,-,-,6.00,-
[03],-,11.815,11.273,(0.008),-,LAS DR9
[04],12.775,-,11.532,(0.004),-,-
[03],-,-,12.402,(0.005),-,-
[05],-,-,10.405,(0.012),-,-
-,-,-,-,-,5.57,-
[05],-,11.223,10.304,(0.013),-,LAS DR9
-,-,-,-,-,5.40,-
-,-,-,-,-,7.07,-
[06],-,-,12.702,(0.009),-,-
-,-,-,-,-,4.20,-
[03],-,-,11.920,(0.006),-,-
[05],-,-,11.251,(0.010),-,-
[03],-,-,11.085,(0.013),-,-
[03],10.445,10.459,10.391,(0.014),-,[2]
[04],12.429,12.370,11.879,(0.015),-,[4]
[03],13.264,13.389,13.457,(0.005),-,[5]
[03],-,-,9.985,(0.007),-,-
[04],-,-,11.283,(0.014),-,-
-,-,-,-,-,7.16,-
[02],13.236,13.469,13.663,(0.010),-,[16]
[04],-,11.130,10.961,(0.009),-,LAS DR9
[04],-,-,10.209,(0.006),-,-
[03],11.317,11.402,11.438,(0.010),-,[9]
-,-,-,-,-,6.70,-
[03],-,-,11.893,(0.006),-,-
[05],-,-,10.061,(0.018),-,-
[04],-,15.308,15.381,(0.031),-,LAS DR9
-,-,-,-,-,6.99,-
[03],13.808,13.738,13.059,(0.011),-,[27]
[03],12.998,13.192,13.321,(0.004),-,[66]
[06],-,-,9.472,(0.016),-,-
-,-,-,-,-,7.04,-
[03],-,-,10.667,(0.012),-,-
[03],-,12.720,11.772,(0.007),-,LAS DR9
[05],-,-,11.727,(0.008),-,-
[02],15.939,15.139,13.876,(0.010),-,[27]
-,-,-,-,-,5.87,-
[03],12.270,12.329,12.336,(0.011),-,[38]
[04],-,-,11.393,(0.006),-,-
[04],-,-,11.118,(0.009),-,-
[04],-,-,10.495,(0.009),-,-
[05],-,-,12.228,(0.015),-,-
[05],12.626,12.499,11.835,(0.010),-,[33]
