USG%,BLK%,AST%,GmSc,Age,ORB%,DRtg,TS%,Tm
9.9,0.0,15.6,1.8,31-038,6.5,100,.500,IND
23.1,0.0,0.0,6.4,30-327,0.0,101,.699,IND
18.8,0.0,0.0,0.7,30-254,0.0,106,.286,IND
17.2,0.0,12.9,-0.5,31-045,0.0,114,.333,IND
0.0,0.0,0.0,0.0,30-351,0.0,118, ,IND
20.6,3.7,29.1,10.3,31-040,11.6,108,.635,IND
0.0,0.0,0.0,0.0,30-315,0.0,115, ,IND
26.3,0.0,16.4,-1.5,31-030,11.4,111,.200,IND
61.4,0.0,0.0,-2.4,30-311,0.0,104,.000,IND
24.7,0.0,42.9,0.3,30-338,24.0,106,.000,IND
12.9,0.0,7.6,6.6,30-329,5.9,112,.800,IND
23.4,0.0,10.8,1.3,30-297,10.7,76,.500,IND
15.5,0.0,0.0,3.2,30-255,9.3,136,.537,IND
8.6,4.6,0.0,7.7,30-304,0.0,120,1.042,IND
23.9,0.0,36.4,-1.5,30-290,30.8,114,.000,IND
14.6,0.0,9.8,4.3,30-308,10.7,102,.906,IND
