iFenwick/60,IAP,Points/60,A,FirstA/60,IGP,GP
13.13,47.2,3.36,17,0.80,11.1,122
16.98,30.4,1.94,7,0.24,4.3,114
14.70,57.6,3.81,19,2.18,6.1,130
10.29,45.0,3.01,18,1.00,15.0,130
9.76,57.1,3.63,12,1.95,4.8,113
15.22,36.8,2.46,7,0.90,21.1,115
9.55,68.8,3.10,11,1.55,6.2,128
14.48,33.3,2.51,7,0.56,9.5,118
19.64,34.6,3.10,9,0.62,23.1,92
17.37,17.6,3.72,6,0.62,35.3,125
14.02,38.5,2.80,10,1.64,7.7,111
17.02,55.6,2.79,10,0.51,5.6,107
22.14,50.0,4.67,19,1.81,31.6,121
13.89,41.0,3.44,16,0.60,17.9,126
8.11,33.3,3.77,8,1.16,20.8,101
14.24,50.0,2.59,7,0.78,21.4,101
15.64,30.8,3.32,8,1.42,23.1,106
8.99,54.2,3.16,13,1.21,0.0,117
14.66,57.5,4.38,23,1.36,15.0,99
14.79,47.5,4.64,28,2.90,6.8,122
12.63,48.1,3.58,13,1.19,7.4,119
10.55,70.0,4.04,21,1.41,6.7,121
