Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Christian Vazquez,Sal,20,71,14,24,6,0,3,11,1,0,12,19,0.338,0.453,0.549,1.003
Michael Almanzar,Sal,28,108,15,36,10,0,5,15,5,2,12,15,0.333,0.415,0.565,0.979
Travis Shaw,Sal,25,89,17,25,8,0,4,15,3,1,16,26,0.281,0.407,0.506,0.913
Sean Coyle,Sal,20,75,9,25,7,0,2,17,3,0,3,10,0.333,0.363,0.507,0.869
Brandon Jacobs,Sal,25,102,16,29,6,0,4,18,3,2,9,31,0.284,0.348,0.461,0.809
Felix Sanchez,Sal,10,37,5,10,2,0,1,2,6,1,5,12,0.27,0.4,0.405,0.805
Matty Johnson,Sal,11,43,7,12,6,0,0,4,1,1,6,2,0.279,0.367,0.419,0.786
Xander Bogaerts,Sal,22,81,18,21,5,0,3,12,1,0,10,19,0.259,0.337,0.432,0.769
James Kang,Sal,12,26,2,6,1,1,0,0,1,0,5,8,0.231,0.355,0.346,0.701
Heiker Meneses,Sal,24,99,15,25,6,2,1,16,6,2,3,24,0.253,0.286,0.384,0.67
Lucas LeBlanc,Sal,18,58,10,12,5,1,0,5,0,1,7,12,0.207,0.333,0.328,0.661
Adalberto Ibarra,Sal,15,54,4,13,4,0,0,6,1,0,5,7,0.241,0.317,0.315,0.631
Shannon Wilkerson,Sal,26,103,13,26,2,1,2,13,2,2,4,28,0.252,0.279,0.35,0.629
Carson Blair,Sal,8,30,2,4,0,1,1,2,0,0,2,7,0.133,0.182,0.3,0.482
