bb,r,Opponent,avg,a,e,h,hr,ibb,sh
3,2,Florida,0.262,10,2,4,1,0,0
0,0,Florida,0.261,10,2,5,0,0,1
4,2,Mississippi State,0.262,7,3,4,1,0,0
1,2,Tennessee,0.257,5,2,5,0,1,1
1,3,NC STATE,0.252,10,4,8,1,0,2
5,3,Wright State,0.183,14,2,10,0,0,0
3,1,Maryland,0.177,13,0,4,0,0,2
1,5,UAB,0.252,16,2,10,0,0,0
0,2,Michigan,0.256,3,0,6,0,0,1
7,8,North Florida,0.187,13,1,8,0,0,0
2,2,ALABAMA,0.247,5,1,10,0,0,0
2,4,WESTERN ILLINOIS,0.25,6,3,8,1,0,1
7,7,SOUTH CAROLINA,0.255,11,2,8,2,0,1
3,9,ARKANSAS,0.267,11,0,19,3,1,1
0,3,ARKANSAS,0.267,5,0,9,1,0,0
1,2,LIU,0.175,6,1,5,0,0,0
4,5,Florida,0.262,1,0,9,0,0,2
1,1,UCLA,0.13,7,2,3,0,0,0
4,4,LSU,0.26,10,2,4,1,0,0
1,3,Pacific,0.128,12,2,3,2,0,0
2,5,Tennessee,0.258,11,1,9,1,0,0
3,4,UMKC,0.253,2,0,7,0,0,2
5,3,Ole Miss,0.263,7,1,5,0,0,2
