Player Name,2B,RBI,SLG,CS,SF,AVG,SO,SH
"Lavarnway, Ryan",2,4,0.438,0,0,0.281,5,0
"Butera, Drew",0,0,0.19,1,0,0.19,2,0
"Grandal, Yasmani",11,41,0.514,1,1,0.292,60,1
"Teagarden, Taylor",0,2,0.2,0,0,0.2,4,0
"Avila, Alex",2,11,0.26,1,0,0.173,48,1
"Jaso, John",7,7,0.517,1,1,0.35,12,0
"Lucroy, Jonathan",12,23,0.341,0,3,0.249,36,1
"Sanchez, Tony",0,0,0.375,0,0,0.375,3,0
"Soto, Geovany",7,19,0.488,0,0,0.244,42,0
"Realmuto, J.T.",15,29,0.4,3,2,0.252,47,1
"Castillo, Welington",2,5,0.349,0,0,0.163,12,0
"Leon, Sandy",1,3,0.191,0,0,0.18,20,5
"Clevenger, Steve",1,1,0.545,0,0,0.455,2,0
"Mesoraco, Devin",1,2,0.244,0,0,0.178,9,0
"Butera, Drew",1,2,0.2,0,0,0.178,12,2
"Swihart, Blake",10,14,0.338,2,0,0.244,44,1
"Chirinos, Robinson",15,33,0.425,0,2,0.226,59,5
"Bethancourt, Christian",6,9,0.287,0,0,0.198,18,0
"Pacheco, Jordan",0,8,0.333,0,2,0.242,14,0
"Nieves, Wil",0,4,0.308,0,0,0.077,4,0
"Montero, Miguel",5,32,0.392,0,2,0.23,64,0
"Pena, Brayan",9,11,0.314,0,1,0.278,24,2
"McCann, Brian",11,61,0.465,0,5,0.252,65,0
"Gimenez, Chris",1,1,0.4,0,0,0.2,1,1
"Sucre, Jesus",1,1,0.184,0,0,0.079,8,4
"Rupp, Cameron",6,10,0.32,0,1,0.227,48,0
"Thole, Josh",2,2,0.346,0,0,0.269,2,0
"McCann, James",14,25,0.427,0,1,0.282,53,3
"Barnhart, Tucker",3,8,0.347,1,1,0.25,20,0
"Corporan, Carlos",4,15,0.299,0,2,0.178,40,2
"Castillo, Welington",9,20,0.585,0,0,0.293,40,0
"Joseph, Caleb",8,34,0.409,0,1,0.245,50,2
"Lobaton, Jose",1,11,0.312,0,0,0.204,27,1
"Hedges, Austin",1,6,0.283,0,2,0.167,19,2
"Ross, David",7,5,0.286,0,0,0.184,36,1
"Rivera, Rene",12,24,0.287,0,2,0.176,74,3
