BPG,SPG,FTA,3PM,PF,ORB,FT%
2.3,8.6,22.1,5.2,24.5,8.5,0.661
2.5,5.3,20.5,6.9,22.2,8.7,0.717
3.0,12.5,12.0,20.5,21.5,16.5,0.75
2.0,7.4,21.7,6.8,18.2,9.1,0.689
1.5,6.1,21.1,5.8,18.6,6.6,0.699
2.4,8.1,19.3,6.1,21.5,9.6,0.747
1.6,7.6,16.9,6.8,21.6,8.7,0.695
1.2,7.4,18.6,8.3,19.6,8.4,0.708
3.5,9.9,14.0,3.6,17.9,14.3,0.672
1.3,5.5,23.9,6.2,21.4,9.0,0.754
1.6,11.5,16.3,7.3,21.2,9.6,0.783
2.6,6.4,21.3,7.1,22.1,7.3,0.662
3.1,8.8,22.0,5.5,20.3,10.5,0.696
2.4,6.7,19.6,7.2,21.7,8.8,0.677
1.3,7.0,18.3,6.7,22.3,8.3,0.659
1.1,7.4,19.7,6.5,19.9,12.0,0.651
1.7,6.9,21.0,4.6,19.7,8.3,0.646
2.0,5.9,22.8,6.7,19.8,9.2,0.711
2.9,6.5,16.4,6.1,18.9,9.2,0.703
3.6,6.0,17.0,8.1,18.2,12.0,0.663
3.7,6.5,17.3,6.6,20.9,10.2,0.683
3.0,8.0,18.7,4.3,21.3,9.7,0.714
2.0,6.4,18.4,6.2,20.5,8.1,0.753
2.9,7.4,24.1,7.9,17.8,13.1,0.625
3.4,9.6,27.9,8.1,22.3,13.5,0.712
1.2,3.9,23.8,6.5,17.5,7.7,0.713
2.8,8.6,25.1,6.9,19.2,10.5,0.701
3.2,5.1,17.7,6.1,19.6,10.1,0.749
2.3,9.6,20.1,7.6,18.5,11.1,0.757
1.5,5.9,22.6,6.9,21.7,6.9,0.76
2.8,6.2,17.5,8.3,17.7,11.4,0.731
2.2,4.4,16.1,6.4,18.5,5.9,0.702
2.1,7.0,21.5,6.0,18.2,9.0,0.698
7.8,13.8,26.8,8.8,22.2,1.0,0.495
2.5,7.3,20.0,6.7,18.7,8.1,0.729
3.0,5.8,20.4,7.4,18.5,10.7,0.734
2.1,5.7,19.0,6.7,18.8,10.0,0.687
3.4,8.5,18.0,7.9,21.6,9.2,0.676
2.8,9.3,22.8,4.9,22.4,9.9,0.694
2.2,6.3,18.1,6.9,17.7,8.0,0.668
3.6,5.8,25.2,8.4,19.0,27.2,0.619
2.0,6.6,17.5,6.7,19.3,9.1,0.765
1.9,6.0,23.3,7.0,22.6,8.1,0.734
1.9,5.8,20.4,7.7,22.3,8.0,0.779
1.9,5.6,17.1,8.8,19.9,8.6,0.751
2.3,8.9,17.2,6.9,24.1,10.2,0.695
1.8,5.4,15.8,7.1,17.7,9.3,0.712
2.2,8.8,23.1,7.8,20.8,8.2,0.705
3.5,6.7,21.6,5.5,22.4,9.1,0.685
2.4,7.9,16.6,5.7,19.0,9.9,0.683
1.9,7.2,24.0,7.2,22.1,7.8,0.757
1.5,7.3,23.2,6.7,23.6,9.6,0.733
1.9,7.8,22.3,6.4,21.1,13.7,0.525
2.4,9.1,20.8,6.2,23.3,8.9,0.723
2.7,7.8,18.2,6.1,20.9,9.1,0.692
2.4,7.3,16.8,8.0,22.3,9.1,0.748
2.5,7.4,18.7,8.1,20.2,8.1,0.637
3.7,7.1,20.8,7.3,21.0,13.5,0.663
2.6,7.2,21.0,6.9,20.6,8.6,0.795
1.2,7.9,19.0,10.1,22.5,9.0,0.702
3.6,6.3,21.4,11.1,22.6,12.2,0.779
1.8,7.2,16.7,6.7,19.2,8.5,0.665
2.3,7.6,18.8,5.7,19.3,9.3,0.707
2.9,6.9,20.8,5.2,20.0,10.2,0.699
2.6,6.2,20.4,8.2,17.5,8.1,0.787
1.1,7.4,16.9,9.6,19.9,8.1,0.733
3.2,7.5,26.2,5.1,21.1,10.1,0.614
3.4,7.4,17.7,5.0,22.6,10.1,0.725
1.6,6.5,17.2,9.7,20.3,8.2,0.763
1.6,7.3,18.7,6.6,20.3,9.1,0.697
2.3,5.3,30.0,4.7,17.3,10.0,0.744
3.0,6.5,15.4,7.6,17.0,9.0,0.747
2.5,7.7,22.1,7.3,22.1,7.9,0.748
1.6,6.7,20.0,7.5,20.0,9.0,0.78
3.2,6.3,17.3,7.0,22.2,9.0,0.747
2.3,6.2,18.2,6.5,17.6,7.3,0.769
2.3,9.8,23.9,6.4,19.3,9.4,0.753
