GIDP,SB,Player,OPS,SLG,3B,SF,BB,R
0,4,S Henry,.784,.415,1,0,3,6
9,26,J Adduci,.745,.365,3,3,63,81
1,0,J Lennerton,.606,.268,0,1,14,9
2,1,B Roberts,.909,.409,0,0,2,3
0,1,B Ryan,.641,.333,0,0,1,1
0,0,L Perez,.000,.000,0,0,0,0
3,23,P Powell,.703,.299,0,1,27,20
6,3,J Kreuzer,.679,.329,0,1,22,17
3,0,S Bowman,.853,.485,2,1,4,12
0,0,S Rolen,.000,.000,0,0,0,0
5,7,D Santiesteban,.589,.322,1,2,20,31
23,0,W Ramos,.780,.434,2,5,37,50
0,0,D Cox,.000,.000,0,0,0,0
4,2,D Berg,.795,.414,2,1,32,39
2,3,R Chirinos,.906,.475,2,1,26,22
0,0,D Rundle,.000,.000,0,0,0,0
5,1,J Lucroy,.843,.479,1,6,28,31
6,10,J Calzado,.563,.315,3,1,10,20
6,12,B Emaus,.843,.463,3,5,60,87
2,0,M Hernandez,.422,.200,0,0,2,3
13,1,W Robbins,.788,.405,4,5,52,39
4,2,K Mahar,.776,.389,2,0,19,17
0,0,J McDonald,.780,.364,0,0,1,2
4,15,D Roberts,.766,.457,4,4,12,54
9,3,B Boesch,.689,.379,8,5,36,46
4,18,D Jones,.881,.476,7,1,33,43
8,0,C Kingrey,.711,.388,1,0,16,23
5,2,L Gorsett,.658,.345,1,1,24,28
1,0,M Rabelo,.517,.267,0,0,2,2
2,4,D Perales,.612,.345,4,3,20,23
0,0,B Wilkerson,1.500,1.000,0,0,1,4
0,0,J Hill,.595,.298,0,1,5,6
3,4,S Singleton,.823,.452,2,3,26,38
0,0,S Walls,--,--,0,0,0,0
7,19,L Cain,.806,.448,4,2,29,50
1,0,D Dorn,.786,.500,0,0,1,3
5,0,J Jacobs,.652,.294,0,2,26,21
15,2,L Duda,.755,.398,3,3,66,58
0,0,C Pena,.200,.000,0,0,1,0
7,2,A Hatch,.977,.539,1,1,28,25
4,3,M Maldonado,.703,.351,0,1,8,8
1,4,Q Stewart,.619,.348,0,1,10,10
5,10,J Matulia,.700,.357,2,2,24,36
2,0,A Brown,.967,.557,0,0,11,14
30,17,M Hilligoss,.585,.298,0,4,31,47
10,8,J Gil,.611,.321,0,2,14,17
2,4,V Mendez,.821,.469,0,2,11,19
0,2,S Houin,.403,.175,0,0,6,5
2,0,D Corrente,.771,.514,0,0,2,9
0,0,W Aybar,.558,.250,0,0,1,1
8,0,J Gonzalez,.681,.396,3,1,21,35
0,0,W Vogl,.000,.000,0,0,0,0
2,2,M Reed,.691,.349,2,0,17,15
1,0,A Esquer,.333,.167,0,0,0,1
0,1,B Finegan,.897,.477,0,0,5,10
5,1,J Miller,.764,.366,1,0,16,19
7,1,J Lansford,.606,.309,0,0,12,22
5,1,K Anson,.719,.353,1,1,44,27
0,0,C Fournier,.895,.500,1,0,7,8
3,1,C Leon,.916,.469,1,0,11,11
3,3,R Tosoni,.823,.414,3,2,21,27
8,16,Y Carter,.747,.444,1,3,27,55
1,0,J Made,.161,.056,0,0,1,3
9,4,C Patton,.854,.484,2,5,45,70
0,0,A Pagan,.200,.000,0,0,1,1
11,1,K Holmberg,.609,.254,1,2,51,24
2,0,R Curry,.450,.250,0,0,0,1
1,3,E Gonzalez,.878,.559,1,1,5,18
6,3,C Hatcher,.605,.327,0,3,23,22
0,0,G Psomas,.510,.277,0,0,7,6
0,0,D Eckstein,.508,.214,0,0,2,4
11,8,R Tejada,.588,.296,4,4,41,55
6,5,G Groce,.632,.309,1,4,42,39
1,0,M Treanor,1.041,.563,0,1,6,7
8,2,S De Leon,.723,.419,0,1,4,19
0,0,R Baker,.000,.000,0,0,0,0
1,0,A Frost,.899,.586,1,0,2,6
6,2,J De La Rosa,.657,.366,2,1,14,27
1,0,E Ontiveros,.478,.200,0,1,1,2
6,2,D Valencia,.921,.518,3,4,27,35
0,0,J Krebs,--,--,0,0,0,0
9,1,D Solano,.700,.351,4,0,37,56
10,7,T Wright,.781,.411,1,2,41,60
6,28,E Carrera,.737,.393,12,3,46,61
1,1,G Cates,.486,.247,0,0,1,3
1,0,J Savery,.670,.385,0,0,1,2
13,1,J Louwsma,.547,.290,0,2,16,25
7,2,B Cartie,.716,.372,0,5,31,24
9,5,R Royster,.691,.373,3,2,32,50
4,3,K Randel,.922,.531,4,4,49,59
1,4,J Holden,.639,.310,0,2,13,6
1,3,C Henry,.679,.359,0,0,5,7
3,1,H Pellot,.438,.188,0,1,8,11
0,0,M Anderson,.516,.231,0,0,1,0
1,0,M Smith,.875,.542,0,0,3,5
0,0,J Hopf,.578,.254,0,0,10,4
4,1,J Woodard,.739,.392,3,2,34,37
9,7,S Clevenger,.798,.405,0,4,39,36
0,0,C Denove,.769,.357,0,0,3,1
1,10,O Marmol,.510,.262,1,0,8,16
7,0,A Bouchie,.543,.272,0,4,25,15
4,2,I Garcia,.814,.429,1,1,9,11
0,0,J Lugo,--,--,0,0,0,0
8,12,C Emanuele,.699,.363,3,3,47,73
0,0,B Nicolas,.300,.150,0,0,0,4
0,0,M Mercedes,.111,.000,0,0,1,0
5,1,J Villegas,.688,.322,1,1,17,21
12,22,T Thomas,.720,.400,4,4,34,62
4,4,J Mojica,.679,.332,2,2,35,33
4,1,P Vasquez,.516,.258,0,1,2,8
2,14,S Sizemore,.774,.409,1,3,24,32
11,7,K Smith,.744,.407,1,4,32,51
3,3,J Justice,.868,.504,5,1,29,46
0,0,J Collins,1.000,.500,0,0,0,1
1,2,D Nelson,.494,.224,0,2,13,9
9,8,T Frazier,.808,.451,3,3,41,62
12,17,E Ovalle,.763,.412,11,7,34,61
3,0,J Blalock,.679,.360,0,3,13,8
0,0,J Ceballos,.000,.000,0,0,0,0
2,27,C Heisey,.819,.438,7,3,57,77
0,0,A Rivas,--,--,0,0,0,0
0,0,Y Alonso,.808,.368,0,1,5,1
0,0,N Hopper,.730,.286,0,0,2,3
7,6,G Olson,.507,.258,0,2,9,19
0,0,F Samuel,--,--,0,0,0,0
4,48,D Ford,.626,.303,3,3,46,57
6,6,B Maldonado,.611,.327,0,0,15,18
5,1,A Robbins,.522,.253,2,1,18,17
1,1,G Veloz,.544,.247,0,0,7,8
1,0,J Petersen,.544,.280,1,0,2,5
5,1,N Derba,.528,.238,0,3,30,15
3,1,Y Rodriguez,.553,.279,0,1,8,11
8,5,N Ashley,.663,.315,1,1,49,37
5,2,M DeJesus,.635,.317,2,3,19,20
3,0,D Smith,.692,.359,1,0,5,2
0,0,D Ross,.515,.182,0,1,3,2
0,0,R Malone,.000,.000,0,0,0,0
0,0,J Guzman,--,--,0,0,0,0
4,7,T Henley,.779,.438,4,4,27,47
9,2,T Gosewisch,.601,.309,1,4,31,38
8,2,J Thole,.808,.427,2,5,45,49
0,3,D Sublett,.739,.375,3,1,24,22
0,0,A Van Slyke,.384,.111,0,0,2,2
3,1,J Diaz,.579,.219,0,2,25,9
2,16,S Shoffit,.734,.407,6,2,39,47
0,0,B Richey,--,--,0,0,0,1
1,0,J Hermida,1.074,.600,0,0,4,6
4,4,P Ramos,.551,.269,2,0,11,13
2,3,D Brinkley,.664,.313,0,0,6,11
2,0,A Mansolino,.525,.265,1,0,5,5
13,5,J Blackwood,.561,.297,3,2,21,30
9,6,J Mota,.682,.362,2,3,26,46
3,4,A Calderone,.830,.483,7,1,29,51
1,10,B Dinkelman,.813,.414,2,0,33,44
4,11,S Cousins,.883,.513,2,0,20,35
0,0,M Alou,2.333,1.333,0,0,0,1
5,8,A Perez,.734,.421,2,2,18,38
15,3,D Wabick,.736,.403,2,2,31,56
4,14,J Skelton,.873,.406,2,1,64,43
0,0,G Sheffield,1.036,.615,0,0,6,7
1,1,J Kahaulelio,.726,.393,2,0,16,29
0,1,L Salas,.888,.467,1,0,4,0
3,2,D Lehmann,.618,.267,0,1,16,12
5,5,J Callender,.521,.270,0,3,10,20
8,1,J Kunkel,.590,.301,0,3,12,14
10,0,M Cabral,.714,.365,0,4,31,34
