eFG%,G,GmSc,Tm,ORtg,DRtg
.286,15,0.8,PHI,67,111
.500,48,1.0,PHI,79,124
.500,26,10.0,PHI,113,114
.667,24,3.7,PHI,151,100
1.000,3,3.7,PHI,91,103
.333,45,1.8,PHI,58,84
1.000,39,6.3,PHI,100,89
.000,17,-0.7,PHI,0,111
.333,36,-1.5,PHI,51,101
.500,16,9.0,PHI,108,103
.600,70,4.6,PHI,86,99
.400,8,1.9,PHI,85,98
 ,51,-2.8,PHI,0,125
.500,28,3.5,PHI,125,97
.500,31,2.4,PHI,85,102
.000,63,-0.1,PHI,0,59
1.000,11,7.4,PHI,200,116
 ,55,2.0,PHI,250,117
.375,49,2.5,PHI,75,91
.000,54,-1.8,PHI,0,104
.500,35,3.5,PHI,84,98
