Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Kevin Heller,Low,17,2,5,1,0,1,1,1,0,2,6,0.294,0.368,0.529,0.898
David Chester,Low,107,19,23,5,0,8,20,1,1,16,21,0.215,0.32,0.486,0.806
Kendrick Perkins,Low,104,20,26,6,1,2,12,2,1,13,46,0.25,0.345,0.385,0.729
Deven Marrero,Low,162,29,42,9,3,1,16,11,2,23,33,0.259,0.353,0.37,0.723
Aneury Tavarez,Low,147,13,38,6,3,4,21,5,3,6,45,0.259,0.299,0.422,0.721
Matthew Marquis,Low,88,8,20,3,1,3,13,6,1,8,40,0.227,0.299,0.386,0.685
Mike Miller,Low,181,29,47,10,1,1,10,17,0,18,22,0.26,0.33,0.343,0.673
Jason Thompson,Low,15,2,4,0,0,0,2,1,0,3,6,0.267,0.4,0.267,0.667
Williams Jerez,Low,50,5,13,2,0,0,3,3,1,3,4,0.26,0.315,0.3,0.615
Mookie Betts,Low,171,23,40,6,0,0,23,15,3,26,26,0.234,0.342,0.269,0.611
Jake Davies,Low,91,8,23,2,1,0,10,0,0,7,20,0.253,0.3,0.297,0.597
Matthew Gedman,Low,117,12,24,4,0,3,18,3,0,8,16,0.205,0.269,0.316,0.585
Kevin Mager,Low,7,0,2,0,0,0,0,0,0,0,3,0.286,0.286,0.286,0.571
Dreily Guerrero,Low,106,8,23,6,0,0,7,6,3,8,32,0.217,0.27,0.274,0.543
J.T. Watkins,Low,31,3,5,0,0,1,3,0,0,3,10,0.161,0.278,0.258,0.536
Jose Iglesias,Low,5,1,1,0,0,0,0,1,0,1,1,0.2,0.333,0.2,0.533
Tim Roberson,Low,38,2,7,1,0,1,4,0,0,2,9,0.184,0.22,0.289,0.509
Nathan Minnich,Low,28,2,5,0,0,0,2,0,0,4,6,0.179,0.324,0.179,0.502
Kolbrin Vitek,Low,6,1,1,1,0,0,1,0,0,0,2,0.167,0.167,0.333,0.5
Matty Johnson,Low,37,6,7,0,0,0,1,3,0,4,11,0.189,0.268,0.189,0.457
Zach Kapstein,Low,47,4,6,2,0,0,1,0,0,5,19,0.128,0.255,0.17,0.425
Seth Schwindenhammer,Low,31,3,2,0,0,2,8,0,0,2,17,0.065,0.121,0.258,0.379
Nick Moore,Low,21,0,3,0,0,0,1,0,0,1,10,0.143,0.182,0.143,0.325
Oscar Perez,Low,109,7,13,5,0,0,6,0,1,3,27,0.119,0.148,0.165,0.313
Roberto Reyes,Low,15,0,2,0,0,0,1,0,0,0,10,0.133,0.133,0.133,0.267
