Date,Opponent,Score,w,l,sv,ip,h,r,er,era,bb,k,hr
Feb 9,at Averett,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
Feb 12,at Guilford,"W, 14-4",-,-,-,-,-,-,-,-,-,-,-
Feb 12,at Guilford,"W, 9-4",-,-,-,-,-,-,-,-,-,-,-
Feb 14,at Roanoke,"L, 8-7",-,-,-,-,-,-,-,-,-,-,-
Feb 19,at Ferrum College,"W, 13-8",-,-,-,-,-,-,-,-,-,-,-
Feb 19,at Ferrum College,"W, 17-8",-,-,-,-,-,-,-,-,-,-,-
Feb 21,Maine-Presque Isle,"W, 5-1",-,-,-,-,-,-,-,-,-,-,-
Feb 21,Maine-Presque Isle,"W, 17-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 2,at Washington and Lee,"W, 2-0",-,-,-,-,-,-,-,-,-,-,-
Mar 3,at East. Mennonite,"L, 4-2",-,-,-,-,-,-,-,-,-,-,-
Mar 16,at Washington and Lee,"W, 11-9",-,-,-,-,-,-,-,-,-,-,-
Mar 16,at Washington and Lee,"W, 7-4",-,-,-,-,-,-,-,-,-,-,-
Mar 18,vs. PSU-Greater Allegheny,"W, 4-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 18,vs. PSU-Greater Allegheny,"W, 13-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 19,PSU-Greater Allegheny,"W, 12-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 19,PSU-Greater Allegheny,"L, 4-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 22,at Montreat,"W, 10-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 22,at Montreat,"W, 17-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 29,at Averett,"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 29,at Averett,"L, 2-1",-,-,-,-,-,-,-,-,-,-,-
Apr 1,Washington Adventist,"W, 3-1",-,-,-,-,-,-,-,-,-,-,-
Apr 1,Washington Adventist,"W, 9-7",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 4,Montreat,"W, 7-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 4,Montreat,"W, 6-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 7,at Virginia Intermont,"W, 4-0",-,-,-,-,-,-,-,-,-,-,-
Apr 8,at Hiwassee,"W, 15-3",-,-,-,-,-,-,-,-,-,-,-
Apr 8,at Hiwassee,"W, 11-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 9,at Hiwassee,"W, 6-2",-,-,-,-,-,-,-,-,-,-,-
Apr 9,at Hiwassee,"W, 10-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 13,at Hampden-Sydney,"W, 9-4",-,-,-,-,-,-,-,-,-,-,-
Apr 15,vs. East. Mennonite,"W, 7-5",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 18,at East. Mennonite,"W, 18-7",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 20,vs. Bluefield,"L, 5-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 20,vs. Bluefield,"W, 5-0",-,-,-,-,-,-,-,-,-,-,-
May 6,at King (Tenn.),"L, 3-0",0,0,0,0.0,-,-,-,0.00,-,-,-
May 6,at King (Tenn.),"L, 6-4",0,0,0,0.0,-,-,-,0.00,-,-,-
May 16,vs. Rochester (Mich.),"W, 7-4",0,0,0,0.0,-,-,-,0.00,-,-,-
May 16,vs. PSU-Greater Allegheny,"W, 3-2",-,-,-,-,-,-,-,-,-,-,-
May 18,vs. Briarcliffe (N.Y.),"L, 11-9",0,0,0,0.0,-,-,-,0.00,-,-,-
May 18,vs. Briarcliffe (N.Y.),"L, 6-2",-,-,-,-,-,-,-,-,-,-,-
