MP,AST%,DRB%,Opp
18:28,7.1,6.3,NJN
15:52,0.0,7.8,ATL
3:27,0.0,48.0,ORL
14:36,26.2,16.9,ATL
14:00,8.8,10.1,ORL
4:55,47.6,28.7,MIA
12:51,0.0,0.0,NYK
13:29,11.7,32.4,CHA
17:08,8.9,16.5,MEM
12:22,0.0,10.0,MIA
7:47,0.0,30.8,NYK
7:57,0.0,16.3,DEN
7:46,14.4,53.0,MEM
9:24,11.9,17.0,ORL
13:54,0.0,0.0,TOR
16:08,9.9,13.8,NJN
18:13,8.5,21.5,IND
24:22,11.9,20.7,BOS
6:41,0.0,20.5,DET
3:58,0.0,0.0,UTA
27:29,0.0,6.7,DET
27:35,5.6,7.7,WAS
4:04,0.0,23.1,MIL
13:15,10.9,25.9,CHA
16:05,8.8,25.4,DAL
17:35,7.7,21.8,MIA
22:46,0.0,26.9,MIL
4:17,0.0,0.0,POR
