Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Sep 7,Franklin & Marshall,"W, 14-13",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 21,at Centre,"L, 37-28",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 28,Sewanee,"W, 35-24",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 5,Guilford,"L, 16-7",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 12,at Emory & Henry,"W, 21-17",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 19,at Randolph-Macon,"L, 27-21",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 26,Bridgewater,"W, 42-13",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 2,Catholic,"W, 14-10",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 9,at Hampden-Sydney,"L, 35-22",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 16,at Shenandoah,"L, 21-14",-,-,-,-,-,-,-,-,-,-,-,-,-,-
