SO,AVG,BB,3B,SB,OBP,CS,HR
19,.185,11,0,1,.276,1,0
16,.304,10,0,0,.373,0,1
18,.179,14,0,0,.338,0,1
7,.317,4,0,4,.396,1,1
1,.400,2,0,0,.571,1,0
35,.246,19,2,2,.317,2,1
82,.261,50,4,27,.366,8,5
45,.229,26,0,0,.358,2,2
29,.195,15,0,1,.278,6,0
5,.333,1,0,0,.366,0,0
7,.000,1,0,0,.133,0,0
49,.216,10,3,1,.265,0,3
2,.000,0,0,0,.000,0,0
37,.171,16,1,4,.287,2,3
8,.220,2,1,0,.264,0,0
7,.207,5,0,0,.324,0,1
58,.262,38,4,8,.325,3,3
78,.305,45,2,4,.370,1,13
69,.233,27,1,16,.302,4,13
118,.254,17,8,18,.293,6,11
40,.280,25,2,16,.319,6,3
5,.150,0,0,0,.150,0,0
34,.220,10,0,5,.252,4,1
2,.250,1,0,0,.308,0,0
55,.268,52,4,1,.383,2,6
54,.189,10,0,4,.270,0,4
7,.303,2,0,1,.333,0,2
13,.231,10,0,1,.400,3,0
35,.241,44,1,1,.367,3,4
1,.000,1,0,0,.500,0,0
77,.229,41,4,8,.293,5,2
0,--,0,0,0,--,0,0
45,.292,28,1,1,.364,2,10
1,.154,6,0,0,.421,0,2
69,.287,57,7,27,.381,2,7
85,.228,21,3,0,.285,1,11
44,.286,24,1,14,.365,3,4
110,.265,32,3,5,.318,7,9
23,.171,25,0,1,.360,6,1
32,.301,13,0,0,.361,1,6
1,.250,1,0,1,.308,0,0
0,.000,1,0,0,.250,0,0
26,.253,9,1,4,.295,1,0
21,.123,8,1,0,.224,0,1
30,.291,4,0,2,.304,0,4
50,.201,17,0,4,.276,3,0
107,.266,50,1,0,.350,2,10
84,.298,49,4,3,.392,2,15
14,.206,5,1,0,.260,0,0
2,.250,0,0,0,.250,0,0
0,--,0,0,0,--,0,0
28,.363,7,0,2,.393,0,7
17,.323,10,3,19,.373,6,0
5,.267,4,1,1,.421,1,0
47,.223,23,0,0,.309,0,1
67,.260,14,1,3,.292,2,2
0,--,0,0,0,--,0,0
78,.178,23,0,3,.278,1,6
23,.280,17,1,1,.366,1,0
30,.237,12,0,1,.289,1,1
29,.265,15,0,7,.339,1,3
39,.235,22,0,3,.350,1,2
30,.300,21,3,3,.408,5,1
17,.266,8,0,3,.352,1,0
129,.263,66,3,2,.358,7,11
86,.263,46,12,28,.344,9,7
0,.000,1,0,0,.200,0,0
77,.298,29,5,3,.364,9,10
9,.278,7,1,0,.395,0,2
0,--,0,0,0,--,0,0
24,.234,5,0,3,.319,2,2
0,.286,0,0,0,.286,0,0
7,.293,3,1,4,.370,0,0
52,.271,27,1,1,.353,1,7
2,.143,3,0,0,.333,0,0
9,.095,2,0,0,.174,1,0
71,.251,27,3,8,.308,6,0
68,.208,26,0,5,.313,0,9
3,.000,1,0,0,.182,0,0
51,.280,27,4,7,.342,6,6
2,.000,0,0,0,.000,0,0
2,.000,0,0,0,.000,0,0
40,.226,10,0,0,.275,2,7
3,.500,0,0,0,.500,0,0
22,.231,1,0,0,.250,0,3
53,.243,33,2,7,.313,7,8
2,.105,5,0,0,.292,1,0
28,.293,33,2,10,.399,1,2
1,.000,0,0,0,.000,0,0
82,.226,16,0,1,.257,1,5
134,.228,33,2,9,.298,4,18
0,.500,0,0,0,.500,0,0
102,.247,39,6,16,.327,9,8
8,.200,2,0,0,.250,0,0
32,.194,15,1,0,.272,0,4
93,.290,32,1,7,.337,5,5
0,.067,4,0,0,.263,0,0
1,.100,0,0,0,.100,0,0
58,.278,29,7,4,.346,7,9
