Date,Opponent,Slugging Pct.,AB,R,H,RBI,3B,BB,SB,HBP,AVG,On-Base Percentage
4/02,Notre Dame,---,2,---,1,---,---,---,---,---,---,---
4/03,Hamilton West,0.333,1,---,1,1,---,2,---,---,.333,.500
4/04,Hopewell Valley,---,3,---,---,---,---,---,---,---,---,---
4/09,Hightstown,---,3,1,2,1,---,1,---,---,---,---
4/10,Princeton Day,---,5,1,3,2,---,---,1,---,---,---
4/11,Trenton,---,4,1,2,1,1,---,---,---,---,---
4/13,Robbinsville,---,4,1,2,2,---,---,---,---,---,---
4/16,Hamilton West,---,3,---,1,---,---,---,---,---,---,---
4/19,Allentown,---,3,1,2,---,---,---,---,---,---,---
4/20,Steinert,---,4,1,2,---,---,---,---,---,---,---
4/21,Delran,---,3,1,1,1,---,---,---,---,---,---
4/21,Cherry Hill East,---,4,1,2,3,---,---,---,---,---,---
4/25,West Windsor-Plainsboro South,---,2,---,---,---,---,---,---,---,---,---
4/26,West Windsor-Plainsboro North,---,2,---,---,1,---,---,---,1,---,---
4/27,Lakewood,---,3,---,1,---,---,---,---,---,---,---
4/30,Hightstown,---,3,---,1,2,---,---,---,---,---,---
5/11,Lawrence,---,3,---,1,---,---,---,---,---,---,---
5/14,Nottingham,---,2,2,1,---,---,1,---,---,---,---
