Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
D Ross,ROM,C,0.5,2,6,1,3,0,0,1,4,1,1,0,0,0,0,0,0.571,1.0,1.571
J Blaquiere,SAV,C,0.238,70,240,25,57,11,1,5,21,26,57,4,2,0,1,6,0.326,0.354,0.68
E Zambrano,AUG,C,0.227,9,22,3,5,0,0,0,2,3,4,0,0,5,0,0,0.346,0.227,0.573
D Pickens,LC,C,0.12,8,25,0,3,0,0,0,2,1,7,0,0,2,0,1,0.154,0.12,0.274
B Monaghan,DEL,C,0.222,39,99,13,22,5,1,1,16,11,28,1,0,1,1,3,0.304,0.323,0.627
A Walker,WV,C,0.211,35,114,14,24,8,1,1,13,20,28,0,1,1,2,3,0.333,0.325,0.658
B Seabury,ASH,C,0.238,71,227,15,54,11,0,1,20,23,64,4,4,9,3,1,0.32,0.3,0.62
J Collins,AUG,C,0.333,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0.333,0.333,0.667
J Curtis,KAN,C,0.265,52,170,22,45,8,0,0,13,27,35,1,1,0,1,8,0.379,0.312,0.691
M Inouye,KAN,C,0.125,13,32,5,4,2,0,1,4,4,9,2,0,1,2,0,0.268,0.281,0.55
J Pacheco,ASH,C,0.322,117,451,67,145,30,4,13,79,38,44,12,2,3,7,7,0.379,0.492,0.871
J Peley,WV,C,0.188,67,224,18,42,8,1,0,24,16,41,2,1,1,2,8,0.246,0.232,0.478
R Pestana,LEX,C,0.141,34,99,4,14,1,0,1,7,7,24,0,0,4,0,0,0.206,0.182,0.387
P Gonzalez,LEX,C,0.114,17,44,6,5,1,0,0,4,6,13,0,0,2,0,1,0.22,0.136,0.356
L Alen,SAV,C,0.143,24,56,6,8,2,0,0,1,7,8,1,0,2,0,2,0.262,0.179,0.44
C Dominguez,HIC,C,0.111,8,27,4,3,1,0,0,3,5,5,0,0,0,0,0,0.294,0.148,0.442
L Arzeno,LWD,C,0.0,1,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0.2,0.0,0.2
R Henriquez,SAV,C,0.265,9,34,2,9,1,0,0,2,1,5,0,0,0,0,1,0.286,0.294,0.58
J Monell,AUG,C,0.273,91,293,46,80,21,0,8,44,33,45,4,1,1,1,14,0.355,0.427,0.782
V Castillo,DEL,C,0.188,27,64,6,12,2,0,1,7,6,16,1,0,0,0,0,0.257,0.266,0.523
M Klimas,AUG,C,0.284,53,155,20,44,5,1,0,15,14,32,6,3,2,2,6,0.372,0.329,0.701
M McCormick,BG,C,0.165,64,218,27,36,7,0,4,13,29,76,1,0,1,0,3,0.272,0.252,0.524
J Sucre,ROM,C,0.325,45,169,14,55,15,0,1,18,6,17,1,4,0,0,8,0.352,0.432,0.784
M Kennelly,ROM,C,0.255,46,157,11,40,7,0,1,16,13,36,1,2,0,1,2,0.318,0.318,0.636
F Hernandez,LEX,C,0.231,103,347,39,80,14,1,6,35,17,65,1,0,3,3,7,0.268,0.329,0.597
L Bernardo,DEL,C,0.213,82,253,21,54,11,1,1,25,12,51,2,0,10,1,4,0.257,0.277,0.533
D Black,DEL,C,0.159,18,44,3,7,2,0,2,4,4,14,1,0,0,0,3,0.245,0.341,0.586
