SF,BB,OPS,G,AB,R,SO
0,1,1.100,3,5,1,1
2,45,.757,131,495,69,81
0,2,.978,14,48,8,4
1,18,.589,56,179,13,41
0,1,1.500,2,5,1,1
1,4,.528,17,54,7,11
3,30,.811,90,262,35,56
0,10,.767,25,83,15,10
2,46,.653,129,491,70,101
1,9,.676,38,144,21,45
3,36,.745,125,389,47,67
3,48,.823,135,503,85,115
2,24,.854,115,428,56,77
2,12,.685,49,197,28,34
3,35,.687,121,408,56,46
2,10,.575,30,93,13,11
1,11,.690,32,105,14,14
0,32,.680,96,325,46,82
1,17,.709,51,153,20,46
1,11,.605,54,202,28,19
0,63,.712,135,544,80,123
1,16,.650,66,178,15,23
0,1,.267,5,22,1,4
0,2,1.000,2,6,1,2
0,6,.631,30,74,7,19
0,0,.611,4,18,2,5
0,33,.738,61,212,32,36
0,1,1.071,2,7,0,2
0,1,.929,5,19,0,6
3,22,.534,102,363,33,128
1,12,.636,44,149,14,36
0,9,.748,21,37,6,11
0,31,.633,116,319,50,65
1,21,.732,95,359,34,66
2,34,.917,66,256,39,26
0,15,.784,43,168,24,30
2,10,.621,97,387,39,70
1,20,.637,51,175,21,31
4,66,.773,112,431,66,109
1,14,.821,66,273,46,58
1,4,.731,33,129,22,14
3,24,.682,59,212,30,34
2,16,.582,56,195,20,50
0,1,.321,7,15,0,7
1,23,.679,37,128,18,24
1,32,.691,124,489,69,100
1,14,.944,34,130,27,22
0,5,.466,28,92,7,22
2,17,.726,72,300,38,43
0,6,.635,48,151,18,16
0,3,.585,7,17,1,4
1,2,.397,14,41,2,8
0,1,.984,3,7,2,1
7,40,.826,138,531,81,112
4,38,.893,99,381,67,105
0,2,.250,3,9,0,4
3,36,.812,139,509,65,69
6,35,.965,117,433,66,94
3,33,.630,120,372,38,82
4,26,.620,84,283,30,68
6,20,.592,64,215,19,36
2,22,.699,68,267,47,41
0,2,.610,7,22,4,9
1,11,.694,76,258,28,47
0,1,.182,3,9,0,0
3,14,.662,87,322,50,35
4,27,.635,91,292,27,86
0,1,.452,4,12,2,5
2,34,.726,122,385,51,108
1,6,.862,18,63,11,9
0,17,.717,62,209,23,54
0,1,.718,5,20,4,4
4,20,.688,93,333,41,98
1,7,.668,21,80,9,29
4,51,.662,93,315,36,68
3,53,.997,81,313,59,68
3,20,.697,49,158,16,35
5,38,.741,109,373,50,92
0,7,.581,15,55,5,23
0,1,.790,8,30,4,11
2,27,.567,89,235,29,41
2,8,.592,64,179,20,51
3,18,.704,66,253,35,35
1,8,1.256,21,84,22,25
1,22,.550,96,305,30,56
1,7,.602,24,79,8,13
0,0,.000,1,1,0,1
0,18,.893,23,77,14,28
0,3,.450,13,40,6,8
4,30,.837,57,205,41,67
1,20,.704,75,225,32,37
1,5,.864,15,52,7,9
2,18,.700,77,282,33,42
0,2,.717,4,10,2,0
0,9,.765,39,141,18,19
7,50,.658,130,451,52,119
1,1,.628,7,23,2,5
