DRB%,Opp,BLK%,Date,GmSc,eFG%,Rk,Age
0.0,VAN,0.0,2000-12-26,1.7,.500,15,31-273
9.3,SAS,0.0,2000-12-13,7.4,1.167,10,31-260
14.6,TOR,0.0,2000-12-30,4.8,1.000,17,31-277
0.0,CHI,0.0,2000-12-11,1.7,.667,9,31-258
14.2,CHH,0.0,2000-11-08,-0.4,.000,2,31-225
18.9,LAL,0.0,2001-04-10,2.9,.333,47,32-013
0.0,LAC,0.0,2001-04-16,2.4,.333,48,32-019
0.0,MIL,0.0,2001-04-01,2.0, ,44,32-004
5.4,LAC,0.0,2000-12-15,3.5,.167,11,31-262
0.0,VAN,7.4,2001-01-31,2.1,.000,27,31-309
9.8,DET,0.0,2001-01-24,5.6,.750,23,31-302
0.0,DAL,0.0,2001-03-17,0.3,1.000,39,31-354
18.2,BOS,0.0,2001-01-26,2.6,.500,24,31-304
0.0,SAS,0.0,2001-03-01,3.4,.667,33,31-338
13.0,GSW,0.0,2001-01-19,1.9,.000,20,31-297
7.6,DET,0.0,2000-12-19,13.2,.533,13,31-266
0.0,MIN,0.0,2001-01-23,9.1,.500,22,31-301
0.0,MIL,0.0,2000-11-27,-1.0, ,6,31-244
0.0,WAS,0.0,2001-03-20,1.0,.333,40,31-357
