G,BB,OBP,2B,CS
12,2,.265,2,0
40,11,.355,7,0
2,0,.333,1,0
41,5,.287,1,0
25,7,.317,0,1
8,3,.370,3,0
49,21,.372,4,9
40,15,.310,4,0
24,16,.314,1,1
37,16,.298,5,4
51,28,.385,13,4
22,3,.195,1,0
43,5,.248,5,2
9,1,.343,2,1
49,9,.293,10,3
50,29,.354,6,1
1,0,.000,0,0
6,3,.360,1,0
37,16,.441,7,3
29,7,.226,2,0
6,2,.300,1,0
5,2,.300,3,0
26,8,.417,3,0
1,0,.000,0,0
34,15,.315,4,1
39,5,.270,4,0
38,24,.358,6,0
36,9,.252,9,1
36,11,.346,9,2
48,25,.339,6,0
12,3,.222,0,0
15,9,.423,1,2
3,2,.700,0,0
36,15,.363,7,3
22,9,.321,4,1
34,0,.217,3,0
25,4,.182,1,0
14,7,.316,1,0
5,1,.316,1,0
35,9,.290,5,3
20,1,.210,2,2
16,4,.250,1,0
19,9,.308,1,0
9,6,.410,4,0
7,0,.423,5,0
51,17,.301,7,2
43,7,.262,6,4
33,9,.296,5,1
24,28,.454,3,4
2,0,.000,0,0
1,1,1.000,0,0
57,18,.336,10,1
32,13,.386,5,3
34,10,.273,8,1
39,20,.384,9,1
27,4,.292,3,1
35,11,.375,4,4
22,9,.376,4,0
6,1,.211,1,0
45,12,.349,2,2
2,0,.286,1,0
27,5,.311,8,0
36,16,.421,5,1
14,4,.382,3,0
37,13,.280,1,4
17,2,.196,1,0
4,1,.167,0,0
5,4,.579,2,1
50,17,.350,9,1
27,6,.329,3,1
40,7,.265,5,1
40,14,.329,4,0
36,17,.377,5,4
4,1,.500,0,0
6,3,.320,0,1
22,7,.313,1,2
7,1,.382,5,0
41,3,.236,3,0
21,6,.314,2,1
5,2,.389,3,0
26,9,.333,4,0
38,14,.345,10,0
9,1,.355,1,0
30,3,.353,2,3
4,1,.385,1,0
43,3,.172,2,2
50,9,.307,11,2
21,3,.304,3,0
1,1,.400,0,0
43,15,.406,10,0
39,7,.337,6,3
32,7,.347,6,2
3,1,.222,0,0
19,1,.175,0,0
45,11,.258,0,3
31,5,.229,3,0
43,17,.330,10,3
1,1,.500,0,0
5,0,.167,0,0
24,6,.265,4,3
41,11,.337,5,3
26,1,.231,2,0
25,7,.247,1,1
33,12,.366,6,0
1,0,.750,0,0
10,1,.222,0,0
30,11,.295,1,0
39,18,.352,1,3
37,12,.359,5,1
2,2,.400,0,0
2,0,.375,2,0
2,2,.500,1,0
4,2,.267,0,0
1,0,.500,0,0
23,15,.351,1,0
2,0,.333,1,0
8,4,.206,1,0
23,10,.355,5,0
36,9,.277,3,1
47,16,.356,8,3
54,13,.364,10,10
8,3,.280,1,0
31,6,.350,4,0
34,4,.252,4,1
7,3,.227,0,0
10,4,.389,5,0
27,16,.368,10,3
1,0,--,0,0
1,1,.667,0,0
7,2,.452,1,0
9,0,.200,1,0
26,4,.340,6,0
51,21,.324,16,1
52,11,.342,4,3
10,5,.463,1,3
14,4,.364,2,0
38,16,.338,6,1
38,12,.357,6,5
8,2,.355,4,1
45,16,.352,9,4
47,17,.372,16,1
40,16,.316,6,1
1,0,.500,0,0
16,5,.379,4,1
2,2,.667,0,0
52,8,.320,6,2
30,13,.361,7,1
20,13,.419,0,2
30,11,.327,5,0
42,23,.372,8,0
39,19,.430,4,5
24,8,.247,3,1
27,12,.407,11,0
28,6,.314,4,6
4,1,.375,0,0
6,5,.579,0,0
24,7,.287,3,1
3,3,.500,1,0
42,20,.274,1,4
55,19,.297,8,2
4,2,.438,0,0
37,16,.369,11,3
35,11,.319,0,4
53,33,.378,10,5
56,7,.313,15,2
36,26,.373,2,0
54,12,.297,10,1
50,20,.356,9,4
8,0,.474,2,0
22,6,.183,0,1
32,12,.283,3,0
2,0,.250,0,0
6,4,.250,0,0
37,11,.315,6,3
20,7,.361,1,1
7,1,.519,1,0
27,12,.350,2,0
10,1,.407,1,0
38,13,.422,8,1
26,2,.270,1,4
9,2,.208,0,0
51,11,.406,9,3
11,7,.316,0,0
2,1,.333,1,1
6,1,.333,1,0
24,11,.270,0,4
44,12,.261,4,3
19,10,.352,2,0
18,4,.288,3,3
52,31,.364,8,5
4,2,.286,0,0
51,20,.340,8,2
20,7,.397,1,1
11,5,.432,5,2
3,0,.182,0,0
31,17,.324,0,0
34,9,.282,8,1
47,10,.240,4,0
53,17,.316,17,1
35,18,.421,4,2
49,26,.336,5,1
48,19,.330,7,1
43,4,.296,5,0
2,1,.600,0,0
48,12,.244,5,0
18,8,.311,0,1
26,5,.321,5,1
