rbi,h,cs,Opponent,k,Date
6,12,0,Richmond,11,"Apr 17, 2010"
5,9,0,Temple,10,"May 09, 2010"
5,12,1,MD EASTERN SHORE,6,"Mar 10, 2010"
8,17,0,FORDHAM,4,"May 16, 2010"
9,8,0,CHARLOTTE,5,"Apr 24, 2010"
6,12,0,Temple,6,"May 07, 2010"
5,8,1,GEORGETOWN,6,"Apr 14, 2010"
1,3,1,Massachusetts,5,"May 01, 2010"
10,13,3,ST. BONAVENTURE,6,"Apr 02, 2010"
2,9,0,Virginia,6,"Feb 24, 2010"
12,15,0,ST. BONAVENTURE,9,"Apr 03, 2010"
5,8,2,TOWSON,8,"Apr 13, 2010"
2,6,1,MARIST,3,"Mar 17, 2010"
8,9,0,FORDHAM,6,"May 15, 2010"
4,8,0,USC Upstate,17,"Mar 05, 2010"
7,7,1,COPPIN STATE,3,"Feb 27, 2010"
3,8,1,Maryland Eastern Sho,3,"Mar 31, 2010"
9,10,0,MD Baltimore County,1,"Apr 22, 2010"
4,9,1,CHARLOTTE,5,"Apr 23, 2010"
7,15,4,ST. BONAVENTURE,7,"Apr 01, 2010"
13,17,0,Massachusetts,9,"May 02, 2010"
7,10,2,Georgetown,4,"Mar 21, 2010"
6,8,2,MARIST,5,"Mar 16, 2010"
3,6,1,North Carolina,5,"Feb 21, 2010"
