SLG,GB%,Age,SB,LD%,BA,PA,BABIP,G,K%
0.63,38.2%,20.17,6,16.1%,0.349,365,0.407,80,20.8%
0.216,52.6%,24.33,1,15.5%,0.198,125,0.24,32,16.8%
0.193,34.5%,23.08,3,13.8%,0.11,124,0.182,35,41.9%
0.421,51.3%,24.08,31,14.5%,0.271,499,0.378,119,29.9%
0.398,36.2%,23.75,16,15.9%,0.272,294,0.333,68,17.3%
0.489,43.6%,22.25,13,11.1%,0.288,436,0.352,94,22.7%
0.582,32.0%,21.58,20,15.2%,0.332,218,0.467,50,27.1%
0.41,41.8%,22.42,8,11.4%,0.262,416,0.33,94,24.8%
0.386,54.5%,23.0,3,11.6%,0.258,155,0.296,40,14.8%
0.321,46.2%,24.33,2,12.8%,0.245,111,0.329,29,27.0%
0.206,54.0%,24.83,0,11.2%,0.177,210,0.203,56,11.4%
0.453,34.7%,24.17,5,21.4%,0.299,409,0.356,95,19.6%
0.467,45.2%,20.17,4,8.6%,0.267,125,0.315,29,21.6%
0.384,38.1%,24.33,5,12.5%,0.223,256,0.293,65,27.3%
0.335,53.5%,21.67,9,12.4%,0.244,302,0.285,72,17.2%
0.533,44.6%,22.42,3,16.2%,0.282,214,0.311,50,23.4%
0.553,45.8%,24.33,0,14.5%,0.333,138,0.423,32,23.9%
0.58,40.1%,20.83,4,13.6%,0.317,249,0.349,53,18.5%
0.292,44.1%,22.5,2,12.8%,0.204,314,0.255,76,21.3%
0.493,38.4%,24.75,2,14.7%,0.295,348,0.358,82,19.8%
0.332,41.3%,24.33,19,16.0%,0.272,468,0.324,105,14.7%
0.484,34.5%,23.75,1,14.3%,0.293,277,0.337,66,18.1%
0.452,46.2%,23.5,9,12.7%,0.294,228,0.351,53,17.5%
0.53,35.4%,23.5,4,17.8%,0.303,577,0.417,132,32.8%
0.397,36.9%,23.42,7,14.9%,0.268,586,0.301,131,16.6%
0.414,33.4%,22.0,0,16.0%,0.249,387,0.265,93,16.3%
0.417,35.6%,21.75,7,19.1%,0.272,362,0.366,86,27.9%
0.661,37.1%,22.33,1,19.5%,0.361,214,0.361,47,11.7%
0.419,44.2%,22.75,8,10.6%,0.261,348,0.364,82,30.5%
0.426,45.3%,22.33,18,14.6%,0.304,492,0.354,114,15.9%
0.256,55.6%,21.83,0,16.2%,0.195,138,0.247,40,24.6%
0.371,31.5%,25.67,1,13.7%,0.204,223,0.225,56,21.5%
0.466,51.1%,20.5,18,11.9%,0.305,579,0.371,131,22.5%
0.356,56.8%,22.92,9,9.0%,0.236,250,0.254,63,15.6%
0.372,29.4%,24.0,9,18.9%,0.227,414,0.33,107,32.4%
0.516,41.6%,21.83,5,13.5%,0.3,478,0.326,107,15.9%
0.377,37.7%,25.17,6,13.6%,0.241,243,0.34,62,30.5%
0.435,50.8%,22.33,6,13.6%,0.272,416,0.33,105,21.6%
0.362,59.2%,23.75,14,10.7%,0.238,159,0.316,40,22.6%
0.431,44.8%,21.75,4,11.5%,0.263,566,0.331,130,26.5%
0.449,50.5%,23.33,1,16.5%,0.327,115,0.358,34,11.3%
0.308,42.6%,23.75,4,16.8%,0.245,163,0.354,44,27.0%
0.489,40.9%,23.75,15,14.3%,0.261,298,0.307,65,21.8%
0.377,57.5%,24.08,19,13.4%,0.284,466,0.32,109,13.3%
0.506,49.3%,23.92,6,15.5%,0.318,100,0.353,23,14.0%
0.384,49.3%,24.25,2,19.4%,0.232,140,0.406,35,41.4%
0.42,43.5%,24.42,13,16.7%,0.306,439,0.356,102,14.1%
0.439,33.1%,25.0,1,15.7%,0.225,201,0.274,49,30.3%
0.392,42.8%,23.42,1,14.8%,0.278,345,0.324,89,16.2%
0.365,56.4%,22.67,7,17.3%,0.284,167,0.385,42,23.4%
