Symbol,Company,Insider,Position,Date,Buy/Sell,Shares,Trade Price ($),Cost ($1000),Price Change Since Trade (%),Yield (%),P/E,Market Cap ($M),Details
NUO,Nuveen OH Quali...,SCHNEIDER WILLIAM J,Director,2015-05-11,Buy,"16,850",$14.83,249.9,-3.03,4.1,7.47,266.281,Link
JDD,Nuveen Diversif...,SCHNEIDER WILLIAM J,other,2015-05-11,Buy,"23,620",$12.7,300.0,-8.58,0.0,0.0,0.0,Link
JTD,Nuveen Tax-Adva...,SCHNEIDER WILLIAM J,Trustee,2015-05-11,Buy,"19,850",$16.36,324.7,-3.55,0.0,0.0,0.0,Link
JRO,Nuveen Floating...,SCHNEIDER WILLIAM J,other,2015-04-08,Buy,"17,000",$11.76,199.9,-8.25,0.0,0.0,0.0,Link
JRO,Nuveen Floating...,SCHNEIDER WILLIAM J,other,2014-04-07,Buy,"8,484",$12.15,103.1,-11.19,0.0,0.0,0.0,Link
JSD,Nuveen Short Du...,SCHNEIDER WILLIAM J,Trustee,2013-09-26,Buy,"5,260",$18.98,99.8,-13.54,0.0,0.0,0.0,Link
JRO,Nuveen Floating...,SCHNEIDER WILLIAM J,other,2013-09-26,Buy,"20,290",$12.28,249.2,-12.13,0.0,0.0,0.0,Link
JPG,Nuveen Equity P...,SCHNEIDER WILLIAM J,other,2013-01-07,Buy,"22,200",$13.33,295.9,7.65,0.0,0.0,0.0,Link
NUW,Nuveen Municipa...,SCHNEIDER WILLIAM J,Trustee,2012-08-10,Sell,"3,000",$18.43,55.3,-11.5,0.0,0.0,0.0,Link
JPG,Nuveen Equity P...,SCHNEIDER WILLIAM J,other,2012-08-10,Buy,"4,150",$13.2,54.8,8.71,0.0,0.0,0.0,Link
JLS,Nuveen Mortgage...,SCHNEIDER WILLIAM J,Trustee,2011-12-15,Sell,"4,000",$20.26,81.0,11.01,0.0,0.0,0.0,Link
CFD,Nuveen Diversif...,SCHNEIDER WILLIAM J,Trustee,2011-12-15,Sell,"9,805",$18.94,185.7,-41.13,8.6,0.0,100.829,Link
JFR,Nuveen Floating...,SCHNEIDER WILLIAM J,other,2011-10-20,Sell,"25,300",$10.27,259.8,3.51,0.0,0.0,0.0,Link
CFD,Nuveen Diversif...,SCHNEIDER WILLIAM J,Trustee,2011-09-22,Buy,"2,210",$22.57,49.9,-50.6,8.6,0.0,100.829,Link
CFD,Nuveen Diversif...,SCHNEIDER WILLIAM J,Trustee,2011-07-12,Buy,"1,900",$26.15,49.7,-57.36,8.6,0.0,100.829,Link
CFD,Nuveen Diversif...,SCHNEIDER WILLIAM J,Trustee,2011-07-12,Buy,"1,900",$26.15,49.7,-57.36,8.6,0.0,100.829,Link
CFD,Nuveen Diversif...,SCHNEIDER WILLIAM J,Trustee,2011-04-04,Buy,"1,755",$28.32,49.7,-60.63,8.6,0.0,100.829,Link
CFD,Nuveen Diversif...,SCHNEIDER WILLIAM J,Trustee,2011-01-10,Buy,"1,940",$25.99,50.4,-57.1,8.6,0.0,100.829,Link
JFR,Nuveen Floating...,SCHNEIDER WILLIAM J,other,2010-05-04,Buy,"25,300",$11.9,301.1,-10.67,0.0,0.0,0.0,Link
