MP,DRB%,Date
10:00,11.5,2000-03-18
17:00,11.8,2000-03-02
23:00,9.1,2000-04-18
5:00,0.0,2000-04-12
8:00,0.0,2000-03-21
5:00,0.0,2000-03-26
6:00,0.0,1999-12-10
6:00,38.1,1999-12-01
5:00,0.0,1999-12-22
4:00,0.0,2000-03-16
23:00,12.0,1999-12-29
8:00,12.8,1999-12-26
13:00,13.4,2000-02-15
7:00,38.1,2000-01-23
5:00,40.9,1999-12-07
14:00,35.1,1999-11-02
14:00,16.7,2000-04-04
4:00,0.0,2000-02-17
19:00,11.2,2000-01-29
5:00,0.0,1999-11-23
8:00,0.0,2000-02-25
19:00,19.4,2000-01-28
12:00,22.6,1999-11-09
19:00,4.7,2000-03-28
14:00,22.4,1999-12-20
19:00,12.0,2000-03-10
6:00,18.6,1999-12-18
12:00,8.3,2000-02-28
17:00,5.5,1999-11-17
8:00,0.0,1999-11-11
9:00,20.5,2000-04-07
4:00,0.0,2000-04-10
21:00,14.6,2000-01-25
18:00,11.1,2000-02-02
16:00,31.6,1999-12-28
