oppOPS,AVG,OBP,LG,VORP,AGE,#,AB
0.709,0.276,0.332,AL,8.4,30,50.0,587
0.723,0.223,0.26,AL,5.7,26,175.0,319
0.704,0.251,0.313,AL,1.8,24,90.0,283
0.72,0.297,0.337,AL,7.0,32,41.0,734
0.707,0.244,0.285,AL,3.1,32,159.0,303
0.7,0.268,0.34,NL,13.1,26,30.0,627
0.717,0.271,0.316,AL,18.1,27,83.0,564
0.716,0.194,0.277,AL,30.2,26,167.0,748
0.722,0.214,0.295,AL,7.0,26,135.0,271
0.724,0.26,0.348,AL,15.2,34,19.0,574
0.702,0.259,0.294,NL,17.1,34,136.0,757
0.725,0.239,0.307,AL,5.1,28,107.0,293
0.692,0.26,0.315,NL,1.2,27,87.0,507
0.71,0.249,0.291,AL,6.8,27,145.0,357
0.687,0.209,0.248,NL,37.2,24,179.0,646
0.723,0.272,0.33,AL,-4.9,31,54.0,665
0.737,0.231,0.312,AL,5.7,29,94.0,377
0.721,0.311,0.365,AL,0.2,32,9.0,746
0.711,0.253,0.302,NL,15.0,22,120.0,431
0.684,0.196,0.281,NL,12.1,23,162.0,367
0.696,0.291,0.327,NL,8.6,29,60.0,364
0.705,0.25,0.322,NL,10.2,27,73.0,292
0.729,0.269,0.321,AL,3.1,25,75.0,562
0.689,0.261,0.341,NL,-2.5,25,29.0,547
0.72,0.267,0.321,AL,7.3,22,77.0,484
0.695,0.263,0.311,NL,7.9,25,96.0,734
0.712,0.314,0.366,AL,0.9,24,8.0,370
0.7,0.318,0.383,NL,3.2,35,1.0,544
0.7,0.268,0.306,NL,15.5,32,109.0,667
0.691,0.261,0.333,NL,-4.2,27,49.0,537
0.721,0.259,0.313,AL,25.4,26,92.0,810
0.727,0.306,0.348,AL,-8.0,26,20.0,533
0.731,0.285,0.35,AL,0.0,22,18.0,579
0.722,0.264,0.29,AL,24.8,40,148.0,731
0.702,0.234,0.299,NL,20.1,22,126.0,650
0.706,0.255,0.325,NL,25.4,28,65.0,822
0.719,0.258,0.301,AL,10.6,26,123.0,620
0.728,0.243,0.343,AL,12.3,25,25.0,563
0.726,0.261,0.338,AL,15.1,25,39.0,616
0.727,0.318,0.372,AL,-5.4,27,5.0,534
0.688,0.293,0.373,NL,-4.7,35,4.0,451
0.686,0.223,0.292,NL,0.1,25,140.0,292
0.71,0.182,0.257,NL,31.9,20,177.0,611
0.699,0.231,0.304,NL,21.8,36,116.0,714
0.726,0.238,0.288,AL,9.6,30,153.0,797
0.702,0.214,0.288,NL,-0.7,32,155.0,318
0.706,0.264,0.299,NL,-0.4,23,127.0,439
0.706,0.247,0.305,NL,31.6,25,114.0,798
0.694,0.242,0.336,NL,8.3,25,44.0,603
0.729,0.237,0.289,AL,9.3,30,151.0,586
0.683,0.239,0.279,NL,23.7,27,166.0,805
0.711,0.253,0.315,AL,41.6,30,85.0,838
0.735,0.177,0.236,NL,17.2,25,181.0,271
0.74,0.311,0.367,AL,-2.5,22,7.0,366
0.725,0.276,0.324,AL,21.8,34,68.0,807
0.699,0.234,0.289,NL,6.7,30,149.0,338
0.737,0.279,0.338,AL,6.6,27,38.0,544
0.729,0.274,0.325,AL,8.0,26,66.0,676
0.709,0.242,0.287,NL,-0.9,30,156.0,326
0.721,0.251,0.31,AL,26.0,31,99.0,857
0.699,0.293,0.334,NL,5.3,29,47.0,300
0.726,0.252,0.281,AL,28.5,27,161.0,707
0.731,0.272,0.326,AL,1.3,32,63.0,823
0.727,0.268,0.338,AL,3.5,25,37.0,299
0.683,0.28,0.341,NL,2.1,31,28.0,603
0.7,0.243,0.327,NL,8.9,23,58.0,371
0.71,0.227,0.305,NL,6.8,30,113.0,357
0.727,0.293,0.34,AL,8.1,27,31.0,581
0.711,0.222,0.292,NL,17.9,26,141.0,735
0.7,0.262,0.323,NL,10.2,29,70.0,298
0.725,0.226,0.28,AL,-2.7,25,165.0,757
0.722,0.265,0.342,AL,4.2,26,26.0,332
0.738,0.289,0.365,AL,-0.7,29,10.0,367
0.703,0.278,0.344,NL,20.7,23,22.0,425
0.719,0.216,0.312,AL,10.2,24,93.0,551
0.698,0.299,0.363,NL,-3.1,35,12.0,415
0.719,0.307,0.374,AL,6.5,27,3.0,550
0.685,0.258,0.307,NL,19.2,27,105.0,753
0.736,0.235,0.307,AL,4.3,30,106.0,341
0.685,0.231,0.305,NL,29.8,27,115.0,732
0.725,0.247,0.3,AL,25.0,24,125.0,762
0.736,0.297,0.354,AL,10.0,25,16.0,620
0.703,0.244,0.308,NL,3.3,27,101.0,287
