Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
M DeRosa,SJ,3B,.400,2,5,2,2,1,0,0,0,1,1,0,0,0,0,0,.500,.600,1.1
P Burrell,SJ,LF,.375,2,8,0,3,0,0,0,2,0,1,0,0,0,0,0,.375,.375,0.75
R Barajas,RC,C,.389,4,18,4,7,2,0,1,2,1,2,0,0,0,0,1,.421,.667,1.088
G Blum,VIS,1B,.600,2,5,1,3,2,0,1,2,0,0,0,0,0,0,0,.600,1.600,2.2
V Wells,IE,CF,.200,2,5,3,1,1,0,0,3,2,1,0,0,0,0,0,.429,.400,0.829
C Blake,RC,3B,.375,2,8,2,3,1,0,0,1,0,2,0,0,0,0,0,.375,.500,0.875
R Furcal,RC,SS,.318,6,22,10,7,0,0,0,1,3,3,1,0,0,0,0,.400,.318,0.718
J Uribe,RC,3B,.500,3,8,2,4,1,0,0,0,0,2,0,0,0,0,0,.556,.625,1.181
O Hudson,LE,2B,.571,4,7,6,4,0,0,1,3,6,0,2,0,0,0,0,.769,1.000,1.769
R Willits,IE,OF,.200,5,20,1,4,1,0,0,3,3,5,0,0,2,0,0,.304,.250,0.554
A Jackson,RC,CF,.336,35,143,32,48,5,3,3,30,15,19,10,5,6,3,1,.402,.476,0.878
D Payne,LE,LF,.245,88,277,49,68,19,5,8,50,62,90,10,5,0,4,2,.383,.437,0.819
E Campbell,BAK,3B,.371,46,167,48,62,18,1,9,40,27,24,4,0,1,4,4,.468,.653,1.121
J Clark,MOD,1B,.229,61,214,21,49,11,1,7,33,25,66,0,2,1,2,6,.313,.388,0.701
B Seabury,MOD,C,.274,31,106,21,29,8,0,2,20,7,26,0,0,6,1,5,.328,.406,0.733
J Owings,VIS,OF,.282,96,354,52,100,26,2,14,57,34,84,4,2,2,2,4,.352,.486,0.838
A Salome,HD,C,.474,5,19,5,9,1,1,3,5,2,3,0,0,1,0,0,.524,1.105,1.629
J Simmons,SJ,OF,.270,49,159,30,43,6,2,10,27,13,60,4,0,3,0,1,.329,.522,0.851
E Patterson,LE,CF,.000,2,4,0,0,0,0,0,0,2,1,1,0,0,0,0,.333,.000,0.333
J Dunigan,HD,OF,.236,33,106,16,25,3,0,10,19,12,59,0,1,0,0,0,.314,.547,0.861
E Rodriguez,LE,C,.272,46,158,23,43,10,0,8,21,12,41,0,0,2,1,3,.329,.487,0.817
D Cooper,HD,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0.0
O Diaz,HD,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0.0
O Sandoval,MOD,OF,.233,53,172,27,40,11,3,4,22,11,49,4,2,1,0,6,.316,.401,0.717
K Ka'aihue,MOD,DH,.167,11,36,4,6,0,0,2,5,3,12,0,1,1,0,0,.286,.333,0.619
C Denorfia,LE,RF,.667,2,6,1,4,1,0,0,2,0,1,0,0,0,0,0,.667,.833,1.5
A Griffin,STK,P,--,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.000,--,1.0
P Paramore,STK,C,.235,31,119,19,28,2,0,7,21,14,25,0,0,0,3,5,.319,.429,0.747
P Phillips,IE,DH,.244,25,86,9,21,7,0,0,8,10,31,2,2,0,1,1,.320,.326,0.645
T Denker,RC,3B,.259,55,197,39,51,8,2,15,48,28,38,3,0,0,3,6,.352,.548,0.9
C Dominguez,SJ,3B,.291,63,258,40,75,10,1,11,40,18,73,8,2,0,2,7,.337,.465,0.802
M Reed,VIS,C,.290,56,176,31,51,7,2,4,31,17,36,4,4,6,3,1,.347,.420,0.767
C Mendez,BAK,3B,.270,64,237,26,64,13,1,2,28,18,42,1,0,0,0,8,.324,.359,0.683
P Guerrero,RC,SS,.274,39,117,16,32,6,3,0,4,10,30,2,3,2,1,1,.328,.376,0.704
P Sandoval,SJ,3B,.000,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,0.0
J Gonzalez,MOD,C,.210,69,214,27,45,3,0,1,15,24,47,2,2,8,2,4,.302,.238,0.54
L Bonilla,HD,OF,.326,32,129,26,42,5,1,6,21,4,27,2,3,4,0,1,.351,.519,0.87
J Flores,SJ,3B,.233,52,180,23,42,9,0,2,21,25,35,0,0,0,2,8,.327,.317,0.644
W Ramirez,BAK,OF,.233,14,43,9,10,5,0,0,6,4,14,0,3,0,0,2,.313,.349,0.661
J Ciriaco,SJ,2B,.274,43,124,23,34,9,3,0,20,12,19,5,0,0,2,3,.333,.395,0.728
J Vallejo,LAN,2B,.250,2,4,0,1,0,0,0,0,1,3,0,0,0,0,0,.400,.250,0.65
A Gallagher,RC,1B,.292,111,390,73,114,19,2,13,62,62,70,0,1,0,5,11,.386,.451,0.838
N Freiman,LE,1B,.288,138,548,81,158,35,4,22,111,50,93,6,1,0,9,15,.354,.487,0.842
S Tolleson,RC,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0.0
B Belt,SJ,LF,.462,4,13,3,6,1,0,0,4,5,1,1,0,0,0,0,.611,.538,1.15
C Carter,STK,LF,.333,6,24,3,8,0,0,3,7,4,8,0,0,0,0,0,.429,.708,1.137
T Delmonico,RC,3B,.268,111,396,66,106,22,2,12,63,57,99,1,2,3,5,7,.387,.424,0.811
D Raben,HD,1B,.330,76,309,61,102,23,3,18,75,28,76,2,1,1,5,11,.387,.599,0.986
B Haney,SJ,SS,.244,14,41,4,10,2,0,0,3,6,11,0,0,3,0,0,.340,.293,0.633
R Henriquez,HD,C,.250,1,4,0,1,1,0,0,0,0,2,0,0,0,0,0,.250,.500,0.75
S Deal,STK,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0.0
J Gualdron,BAK,2B,.218,49,147,19,32,10,1,2,16,11,34,0,0,3,1,5,.275,.340,0.615
M Baxter,LE,LF,.278,11,36,5,10,1,0,0,2,9,8,0,1,0,1,0,.413,.306,0.719
J Blackwood,LE,3B,.251,60,227,31,57,10,1,8,33,18,43,3,1,1,2,10,.306,.410,0.716
K Hinze,LAN,1B,.323,80,285,61,92,20,0,22,70,70,73,1,0,2,2,9,.458,.625,1.083
A Huttenlocker,STK,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0.0
R Kiniry,IE,OF,.250,73,276,52,69,7,5,2,20,35,56,14,8,4,2,5,.339,.333,0.672
R Lollis,SJ,RF,.255,14,51,12,13,2,0,0,5,4,9,0,0,0,0,2,.333,.294,0.627
J Mier,RC,C,.156,21,77,7,12,2,0,2,10,4,8,0,0,1,0,4,.235,.260,0.495
W Musick,LAN,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0.0
K Lo,HD,OF,.261,11,46,3,12,3,1,1,5,1,17,1,0,0,0,0,.277,.435,0.711
J Valdez,LE,SS,.295,122,516,93,152,37,7,15,92,31,108,34,11,5,3,3,.339,.481,0.819
F Hernandez,LAN,C,.194,31,98,5,19,4,0,2,9,7,23,0,0,3,1,1,.252,.296,0.548
A Marte,VIS,CF,.299,59,234,35,70,15,3,7,33,14,43,5,0,0,0,7,.344,.479,0.823
R Perez,VIS,C,.287,103,349,44,100,12,0,3,41,49,33,6,1,3,1,8,.373,.347,0.72
R Ynoa,RC,2B,.275,126,466,61,128,21,3,5,54,42,69,13,11,9,7,14,.333,.365,0.697
E Adrianza,SJ,SS,.300,56,230,34,69,24,3,3,27,23,46,5,1,1,2,3,.375,.470,0.845
F Peguero,SJ,CF,.324,16,68,12,22,2,0,2,9,7,8,4,0,1,0,2,.387,.441,0.828
J Nunez,STK,C,.268,16,56,8,15,0,0,0,2,5,14,0,0,0,0,0,.328,.268,0.596
C Martinez,MOD,SS,.212,78,236,25,50,11,1,6,28,19,63,7,6,3,3,8,.284,.343,0.627
L Gil,STK,3B,.256,97,352,47,90,12,3,6,39,25,123,5,4,1,3,6,.313,.358,0.671
J Jimenez,BAK,3B,.256,34,133,19,34,5,1,3,28,3,14,1,2,0,2,5,.268,.376,0.644
K Roling,MOD,1B,.252,105,412,74,104,24,2,16,58,41,118,3,3,1,3,6,.327,.437,0.764
D Christensen,MOD,OF,.274,57,179,34,49,11,6,5,21,15,74,3,3,5,2,4,.340,.486,0.826
D Baird,IE,1B,.259,50,174,26,45,16,1,5,27,15,48,1,1,1,2,6,.314,.448,0.762
G Erickson,RC,C,.305,63,226,37,69,16,4,6,40,41,42,3,2,1,4,3,.408,.491,0.899
C Haerther,IE,1B,.293,117,437,54,128,34,0,8,68,24,73,1,2,4,3,15,.330,.426,0.756
M Pericht,RC,C,.400,2,10,1,4,0,0,0,1,0,1,0,0,0,0,1,.400,.400,0.8
T Alliman,IE,RF,.071,9,28,2,2,0,0,0,1,3,8,1,0,1,0,0,.161,.071,0.233
P Mattingly,RC,LF,.233,37,116,15,27,3,0,2,11,10,36,7,1,1,1,2,.291,.310,0.602
S Robinson,MOD,LF,.224,89,303,44,68,17,3,2,36,20,86,24,7,5,4,1,.276,.320,0.596
N Buss,RC,CF,.328,115,479,86,157,30,8,14,55,27,63,28,10,15,3,5,.369,.511,0.88
R Gale,LE,C,.141,27,71,7,10,1,0,0,10,7,12,0,1,3,1,0,.235,.155,0.389
T Coleman,HD,C,.265,93,306,40,81,17,1,6,50,58,62,3,2,0,4,7,.379,.386,0.765
