Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Sep 7,Augsburg,"L, 51-17",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 14,Macalester,"W, 20-10",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 21,at Trine,"L, 47-41",0,1,1,-,-,0,-,-,-,-,-,-,-,-
Oct 5,Benedictine,"W, 28-27",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 12,at Maranatha Baptist,"W, 70-14",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 19,at Concordia Chicago,"W, 48-42",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 26,Lakeland,"W, 45-28",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 2,at Rockford,"W, 55-13",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 9,Aurora,"W, 49-41",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 16,at Wisconsin Lutheran,"W, 58-31",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 23,at UW-Platteville,"L, 54-20",-,-,-,-,-,-,-,-,-,-,-,-,-,-
