Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Travis Shaw,PorSal,251,61,86,31,1,15,64,8,2,53,52,0.343,0.463,0.653,1.116
Keury De La Cruz,SalGre,248,46,88,20,3,17,68,14,3,9,44,0.355,0.387,0.665,1.052
Mauro Gomez,Paw,218,46,73,19,1,15,49,1,0,26,49,0.335,0.411,0.638,1.049
J.C. Linares,PawPor,187,38,71,18,2,7,35,0,1,13,24,0.38,0.42,0.61,1.029
Bryce Brentz,PawPor,236,42,79,20,0,12,50,5,2,20,65,0.335,0.388,0.572,0.96
Garin Cecchini,Gre,224,57,78,22,3,2,44,33,4,38,35,0.348,0.448,0.5,0.948
Xander Bogaerts,PorSal,273,48,85,21,3,14,60,3,4,22,60,0.311,0.371,0.564,0.935
Jackie Bradley,PorSal,258,64,81,21,1,7,46,16,4,61,40,0.314,0.451,0.484,0.935
Michael Almanzar,Sal,236,46,77,23,0,8,32,5,2,18,35,0.326,0.382,0.525,0.908
Ryan Lavarnway,Paw,183,38,58,12,0,7,31,1,0,26,34,0.317,0.407,0.497,0.904
Sean Coyle,Sal,236,45,73,21,2,8,50,9,0,20,64,0.309,0.376,0.517,0.893
David Renfroe,SalGre,190,34,58,16,0,7,48,2,0,22,27,0.305,0.387,0.5,0.887
Brandon Jacobs,Sal,217,37,66,15,0,10,38,14,6,21,56,0.304,0.369,0.512,0.88
Lars Anderson,Paw,197,39,57,13,1,7,39,1,0,39,49,0.289,0.4,0.472,0.872
Boss Moanaroa,Gre,158,33,47,11,0,3,30,1,0,42,57,0.297,0.439,0.424,0.863
Jeremy Hazelbaker,PawPor,268,53,78,16,5,11,49,20,5,18,63,0.291,0.347,0.511,0.858
Christian Vazquez,PorSal,206,47,64,14,0,5,34,1,2,29,39,0.311,0.399,0.451,0.851
Henry Ramos,Gre,220,40,62,13,3,6,35,8,5,28,43,0.282,0.365,0.45,0.815
Alex Hassan,Paw,171,31,49,8,0,5,35,0,0,27,33,0.287,0.388,0.421,0.809
Heiker Meneses,PorSal,194,36,58,14,4,1,30,12,4,10,41,0.299,0.349,0.428,0.777
Shannon Wilkerson,PorSal,243,44,78,16,1,3,34,24,3,10,41,0.321,0.345,0.432,0.777
Nate Spears,Paw,193,32,47,12,2,6,26,1,1,25,49,0.244,0.336,0.42,0.756
Jose Iglesias,PawLow,202,35,64,7,1,1,21,9,2,15,27,0.317,0.359,0.376,0.735
Derrik Gibson,Por,199,33,55,8,3,0,17,10,1,26,45,0.276,0.364,0.347,0.711
Che-Hsuan Lin,Paw,195,24,50,8,2,2,20,6,1,21,34,0.256,0.329,0.349,0.677
