b/s,d/s,m,tot,a,e
0.39,0.5,32,45,3,122
0.82,0.21,31,88,10,79
0.0,5.81,30,0,19,12
0.49,0.14,30,50,3,75
0.61,0.58,30,67,9,85
0.26,0.71,30,22,317,15
0.0,1.03,29,0,496,7
0.31,0.39,31,29,24,75
0.42,0.62,35,53,7,100
0.0,4.59,29,0,29,0
0.0,3.7,33,0,65,7
0.61,0.82,30,67,6,96
0.55,1.03,33,67,13,96
0.23,1.83,35,30,12,118
0.64,0.75,30,68,14,51
0.0,1.98,30,0,15,13
0.37,0.83,33,40,8,70
0.34,0.61,35,44,32,141
0.25,3.18,33,29,34,107
0.06,3.37,30,6,7,103
0.29,2.08,35,38,965,73
0.0,2.41,35,0,8,9
0.63,0.2,34,77,4,108
