Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
David Ortiz,PawPor,17,6,5,0,0,3,6,0,0,5,3,0.294,0.455,0.824,1.278
Sean Casey,Paw,6,3,3,1,0,0,0,0,0,1,1,0.5,0.571,0.667,1.238
Daniel Nava,Lan,171,38,65,14,1,7,32,3,2,21,33,0.38,0.452,0.596,1.048
Chris Carter,Paw,241,42,83,18,0,17,43,0,0,23,39,0.344,0.408,0.631,1.039
Jeff Bailey,Paw,223,53,67,16,0,18,50,5,1,37,55,0.3,0.416,0.614,1.031
Lars Anderson,PorLan,218,46,76,17,0,9,45,0,0,43,50,0.349,0.455,0.55,1.005
Carson Blair,GCL,11,0,5,1,0,0,2,0,0,0,3,0.455,0.455,0.545,1.0
Jered Stanley,PorGre,160,27,46,8,2,13,32,2,0,13,50,0.288,0.367,0.606,0.973
Juan Bonifacio,DSL,82,18,27,6,3,1,16,8,3,16,17,0.329,0.459,0.512,0.971
Jeff Corsaletti,PawPor,216,45,66,19,2,9,38,2,1,30,50,0.306,0.39,0.537,0.927
Josh Reddick,3 Teams,267,47,82,12,5,16,57,5,1,17,50,0.307,0.347,0.569,0.917
Bobby Kielty,PawLow,34,5,9,1,1,1,9,0,0,11,9,0.265,0.438,0.441,0.879
Zak Farkes,Lan,144,25,42,8,2,7,25,1,0,12,36,0.292,0.356,0.521,0.877
Aaron Bates,Por,218,29,67,14,1,7,37,0,0,26,50,0.307,0.4,0.477,0.877
Mitch Dening,Low,105,16,35,5,5,1,12,5,3,6,22,0.333,0.369,0.505,0.874
Sandy Madera,PawPor,133,19,39,9,0,7,25,1,0,12,19,0.293,0.349,0.519,0.868
Michael Jones,LanGre,230,31,73,20,1,6,39,0,0,19,42,0.317,0.373,0.491,0.864
George Kottaras,Paw,201,35,51,6,0,14,38,0,0,36,56,0.254,0.367,0.493,0.86
Zachary Daeges,Por,171,31,55,11,3,0,19,1,0,34,26,0.322,0.433,0.421,0.854
Mickey Hall,PorLan,139,29,36,12,2,6,16,4,1,16,51,0.259,0.346,0.504,0.85
Jon Still,Lan,220,38,62,16,1,9,41,0,0,25,44,0.282,0.362,0.486,0.849
Chih-Hsien Chiang,Lan,180,31,58,13,2,5,37,2,1,9,25,0.322,0.345,0.5,0.845
Mark Wagner,Por,167,24,46,13,0,8,33,0,0,17,33,0.275,0.346,0.497,0.843
Yamaico Navarro,LanGre,242,39,73,15,3,7,32,2,3,27,55,0.302,0.368,0.475,0.843
Anthony Rizzo,Gre,42,2,16,2,0,0,3,0,0,2,5,0.381,0.409,0.429,0.838
