Team,Oppo,Date,Comp,Res,Appear,g,a,sh,sg,fc,fs,yc,rc
Crawley Town,H - Coventry,"May 3, 2015",L1,L 1-2,Sub-On 69 min,0,0,0,0,0,0,0,0
Crawley Town,A - Peterborough,"Apr 25, 2015",L1,L 4-3,Sub-On 70 min,0,0,0,0,0,0,0,0
Crawley Town,H - Notts County,"Apr 18, 2015",L1,W 2-0,Sub-On 84 min,0,0,0,0,0,0,0,0
Crawley Town,A - Walsall,"Apr 14, 2015",L1,L 5-0,Started,0,0,0,0,0,0,0,0
Crawley Town,A - Scunthorpe,"Apr 11, 2015",L1,L 2-1,Started,0,0,0,0,0,0,0,0
Crawley Town,H - Oldham,"Apr 6, 2015",L1,W 2-0,Started,0,0,0,0,1,1,1,0
Crawley Town,A - Crewe,"Apr 3, 2015",L1,D 0-0,Started,0,0,1,0,3,0,1,0
Crawley Town,H - Gillingham,"Mar 28, 2015",L1,L 1-2,Sub-On 45 min,0,0,1,0,0,0,0,0
Crawley Town,H - L Orient,"Mar 21, 2015",L1,W 1-0,Sub-On 90 min,0,0,0,0,0,0,0,0
Crawley Town,H - Doncaster,"Feb 10, 2015",L1,L 0-5,Sub-Off 45 min,0,0,0,0,0,0,0,0
Crawley Town,A - Yeovil,"Feb 7, 2015",L1,L 2-1,Started,0,0,0,0,1,2,0,0
Crawley Town,H - Preston,"Jan 31, 2015",L1,W 2-1,Started,0,0,1,0,0,0,0,0
Crawley Town,A - Chesterfield,"Jan 27, 2015",L1,L 3-0,Started,0,0,0,0,0,0,0,0
Crawley Town,A - Fleetwood To,"Jan 24, 2015",L1,L 1-0,Started,0,0,0,0,0,1,0,0
Crawley Town,A - Rochdale,"Jan 17, 2015",L1,L 4-1,Started,0,0,0,0,1,0,0,0
Crawley Town,H - MK Dons,"Jan 10, 2015",L1,D 2-2,Started,0,0,0,0,1,1,0,0
Crawley Town,A - Bristol City,"Dec 13, 2014",L1,L 1-0,Started,0,0,1,0,2,2,0,0
Crawley Town,H - Chesterfield,"Nov 29, 2014",L1,D 1-1,Started,0,0,0,0,0,0,0,0
Crawley Town,H - Gillingham,"Nov 11, 2014",JPT,L 1-2,Sub-Off 83 min,0,0,0,0,1,1,0,0
Crawley Town,A - Yeovil,"Nov 8, 2014",FAC,L 1-0,Started,0,0,2,1,2,1,0,0
Crawley Town,H - Crewe,"Nov 1, 2014",L1,D 1-1,Started,0,0,0,0,1,4,0,0
Crawley Town,A - Gillingham,"Oct 25, 2014",L1,D 1-1,Started,0,0,0,0,2,2,0,0
Crawley Town,H - Walsall,"Oct 21, 2014",L1,W 1-0,Started,0,0,1,0,1,0,1,0
Crawley Town,A - Notts County,"Oct 18, 2014",L1,L 5-3,Started,0,0,0,0,0,0,0,0
Crawley Town,H - Peterborough,"Oct 11, 2014",L1,L 1-4,Started,0,0,1,0,1,2,0,0
Crawley Town,A - Coventry,"Oct 4, 2014",L1,D 2-2,Started,0,0,0,0,0,0,0,0
Crawley Town,H - Yeovil,"Sep 27, 2014",L1,W 2-0,Started,0,0,1,1,0,1,0,0
Crawley Town,H - Rochdale,"Sep 6, 2014",L1,L 0-4,Started,0,0,0,0,0,1,0,0
Crawley Town,H - Cambridge,"Sep 2, 2014",JPT,W 2-0,Started,0,0,0,0,0,0,0,0
Crawley Town,A - MK Dons,"Aug 30, 2014",L1,L 2-0,Started,0,0,0,0,0,2,0,0
Crawley Town,A - Sheff Utd,"Aug 23, 2014",L1,L 1-0,Sub-Off 83 min,0,0,0,0,0,0,0,0
Crawley Town,H - Bradford,"Aug 19, 2014",L1,L 1-3,Started,0,0,0,0,1,0,1,0
Crawley Town,H - Swindon,"Aug 16, 2014",L1,W 1-0,Started,0,0,0,0,0,1,0,0
Crawley Town,H - Ipswich,"Aug 12, 2014",CC,W 1-0,Started,0,0,1,0,0,1,0,0
Crawley Town,A - Barnsley,"Aug 9, 2014",L1,W 0-1,Started,0,0,0,0,1,1,0,0
