Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Michael Jones,Gre,24,94,21,39,10,1,2,20,0,0,12,21,0.415,0.477,0.606,1.083
Sandy Madera,PawPor,13,52,12,21,5,0,4,9,1,0,6,7,0.404,0.458,0.731,1.188
Christian Lara,Lan,2,8,4,3,1,0,1,2,0,0,3,2,0.375,0.545,0.875,1.42
Jeff Corsaletti,Por,13,48,10,18,6,1,3,7,1,0,5,8,0.375,0.455,0.729,1.184
Anthony Rizzo,Gre,21,83,9,31,6,0,0,11,0,0,3,15,0.373,0.402,0.446,0.848
Dennis Blackmon,Lan,10,36,2,13,2,0,1,8,0,0,4,12,0.361,0.405,0.5,0.905
Josh Reddick,LanGre,21,78,10,27,4,2,1,13,2,2,7,10,0.346,0.391,0.487,0.878
Aaron Reza,LanGre,18,61,13,21,7,0,3,11,0,0,4,11,0.344,0.429,0.607,1.035
Luis Exposito,Gre,12,45,11,15,1,0,3,9,0,0,5,5,0.333,0.4,0.556,0.956
Jorge Jimenez,Lan,23,87,11,29,4,0,2,17,0,0,7,9,0.333,0.398,0.448,0.846
Reid Engel,Lan,19,89,13,29,5,0,2,9,1,0,4,20,0.326,0.355,0.449,0.804
Jon Still,Lan,25,100,21,31,7,0,7,17,0,0,15,17,0.31,0.397,0.59,0.987
Lars Anderson,Lan,24,94,20,28,6,1,5,14,0,0,15,24,0.298,0.394,0.543,0.937
Jonathan Van Every,Paw,26,84,14,25,4,1,5,16,2,0,10,30,0.298,0.372,0.548,0.92
John Otness,Por,15,57,8,17,4,0,1,6,0,1,7,5,0.298,0.406,0.421,0.827
Sean Danielson,Por,20,86,15,25,4,1,0,2,6,0,10,18,0.291,0.365,0.36,0.725
Chris Carter,Paw,26,100,7,29,9,1,0,9,0,0,10,21,0.29,0.355,0.4,0.755
Jeff Bailey,Paw,21,70,12,20,3,0,3,11,2,2,10,12,0.286,0.386,0.457,0.843
Mark Wagner,Por,15,56,5,16,3,0,1,8,0,0,6,5,0.286,0.359,0.393,0.752
Andrew Pinckney,Por,20,83,9,23,3,1,2,18,0,0,2,20,0.277,0.294,0.41,0.704
Che-Hsuan Lin,Gre,25,103,18,28,8,0,1,8,11,2,13,19,0.272,0.375,0.379,0.754
Iggy Suarez,Por,19,70,7,19,3,0,0,10,3,2,8,11,0.271,0.346,0.314,0.66
Brandon Moss,Paw,22,82,11,22,6,2,1,12,2,0,9,28,0.268,0.337,0.427,0.764
Chih-Hsien Chiang,Lan,21,94,12,25,4,0,2,13,0,0,4,16,0.266,0.3,0.372,0.672
Aaron Bates,Por,20,79,11,21,2,0,0,10,0,0,7,20,0.266,0.352,0.291,0.643
