bs,a/s,pts,ba,b/s,digs
5,9.15,64.5,27,0.41,190
0,0.1,17.0,0,0.0,187
0,4.72,70.0,0,0.0,161
0,0.28,18.0,0,0.0,347
5,0.08,212.0,16,0.24,63
0,0.38,21.0,0,0.0,284
2,0.1,162.5,15,0.24,220
12,0.04,187.5,53,0.82,13
1,0.18,240.5,19,0.25,100
1,0.16,16.0,0,0.01,381
9,0.22,224.5,35,0.59,36
12,0.19,434.0,40,0.46,403
4,0.08,296.0,34,0.49,62
14,0.11,198.5,37,0.69,23
0,0.44,30.0,0,0.0,390
3,0.05,220.5,23,0.33,55
5,5.15,303.0,40,0.4,246
1,0.07,249.0,28,0.38,135
7,0.24,363.0,26,0.3,320
0,4.54,22.0,2,0.03,102
0,0.13,11.0,0,0.0,156
18,0.13,259.5,73,0.81,46
0,0.07,53.0,2,0.02,102
1,0.24,62.5,9,0.2,65
2,0.24,118.0,4,0.09,222
5,0.29,168.5,47,0.49,39
0,0.43,28.0,0,0.0,200
7,0.07,76.5,21,0.49,14
