AB,PPF,oppSLG,oppOBP,oppTAv,GS,oppRPA+
452,100,0.406,0.322,0.269,15,108
486,93,0.411,0.322,0.271,22,110
289,96,0.396,0.318,0.26,0,100
405,99,0.398,0.318,0.263,18,103
366,93,0.415,0.325,0.274,14,112
439,103,0.392,0.314,0.259,19,99
762,99,0.405,0.319,0.268,33,107
720,99,0.386,0.308,0.252,31,93
810,101,0.404,0.317,0.267,33,106
769,101,0.385,0.307,0.252,33,93
731,94,0.404,0.318,0.266,30,105
603,97,0.385,0.309,0.255,30,96
424,98,0.388,0.309,0.254,20,95
627,112,0.389,0.312,0.257,31,97
431,95,0.398,0.313,0.26,19,100
376,101,0.398,0.315,0.263,16,103
805,104,0.377,0.306,0.25,32,91
292,114,0.392,0.312,0.257,0,98
822,105,0.394,0.312,0.257,33,97
551,96,0.402,0.316,0.264,27,103
764,94,0.407,0.321,0.268,31,107
682,101,0.393,0.313,0.261,29,101
380,95,0.387,0.314,0.257,17,97
432,97,0.391,0.315,0.258,20,98
564,99,0.398,0.319,0.263,24,102
619,97,0.388,0.315,0.26,29,100
721,100,0.409,0.317,0.267,30,106
611,95,0.395,0.315,0.258,28,98
364,102,0.392,0.314,0.263,18,103
599,98,0.399,0.314,0.258,26,98
773,102,0.395,0.309,0.257,32,97
587,96,0.397,0.313,0.263,24,103
478,103,0.389,0.313,0.256,21,97
748,101,0.399,0.317,0.265,32,105
283,101,0.398,0.316,0.265,0,104
676,95,0.408,0.321,0.268,31,107
574,100,0.404,0.32,0.266,26,106
631,113,0.377,0.306,0.25,30,91
547,104,0.378,0.31,0.252,25,93
544,102,0.413,0.324,0.271,20,109
546,99,0.407,0.321,0.269,22,108
732,103,0.38,0.306,0.252,32,93
766,100,0.399,0.315,0.263,32,103
762,100,0.38,0.306,0.251,32,92
527,94,0.417,0.325,0.272,22,111
367,99,0.414,0.324,0.272,15,111
289,101,0.383,0.309,0.253,11,94
682,97,0.399,0.317,0.264,32,104
402,98,0.392,0.316,0.257,18,97
771,103,0.395,0.311,0.257,32,98
664,101,0.407,0.318,0.266,29,106
707,96,0.408,0.318,0.267,27,106
271,98,0.411,0.324,0.265,0,104
443,98,0.39,0.31,0.254,20,95
734,102,0.387,0.307,0.253,31,94
734,100,0.401,0.318,0.265,31,104
736,93,0.409,0.321,0.27,32,109
332,101,0.404,0.318,0.267,12,106
767,101,0.418,0.323,0.271,32,110
537,97,0.383,0.308,0.252,23,93
292,96,0.377,0.309,0.253,8,94
647,100,0.389,0.309,0.253,26,94
357,99,0.396,0.314,0.258,12,99
300,112,0.383,0.316,0.256,0,96
563,97,0.374,0.302,0.247,24,89
368,101,0.398,0.318,0.265,17,104
279,99,0.392,0.314,0.262,0,102
746,95,0.404,0.317,0.267,32,106
545,98,0.401,0.32,0.266,23,105
667,104,0.388,0.312,0.255,30,95
523,101,0.416,0.325,0.273,20,111
840,100,0.384,0.309,0.252,33,93
775,98,0.392,0.311,0.254,32,95
620,99,0.414,0.322,0.272,22,111
832,105,0.374,0.304,0.249,33,90
563,100,0.407,0.321,0.268,23,107
484,101,0.403,0.317,0.267,20,106
370,102,0.396,0.315,0.263,17,103
799,98,0.381,0.304,0.25,33,91
613,100,0.405,0.32,0.268,29,107
616,101,0.407,0.319,0.268,27,107
823,100,0.41,0.321,0.27,32,108
544,103,0.389,0.31,0.254,22,95
521,97,0.396,0.317,0.264,24,103
433,97,0.378,0.308,0.251,20,93
832,105,0.394,0.314,0.258,31,99
320,107,0.395,0.316,0.259,10,99
726,101,0.406,0.317,0.265,29,104
336,102,0.4,0.315,0.256,15,97
813,94,0.409,0.322,0.269,33,108
800,99,0.402,0.322,0.268,30,107
377,99,0.413,0.324,0.273,18,111
620,94,0.401,0.319,0.266,26,106
