SLG,Team,RBI,3B,POS,2B,AB,OPS,SO
0.388,TB,47,7,CF,19,505,0.702,120
0.286,MIN,4,0,RF,1,28,0.458,16
0.38,MIN,19,2,RF,10,192,0.671,52
0.714,NYY,5,0,LF,0,14,1.126,5
0.418,OAK,46,7,CF,25,455,0.742,64
0.242,MIN,4,0,RF,1,66,0.489,21
0.352,BOS,12,0,CF,7,199,0.674,35
0.387,NYY,3,0,LF,2,31,0.804,7
0.333,LAA,5,0,RF,3,24,0.593,5
0.217,LAA,1,0,RF,1,23,0.457,6
0.354,DET,29,6,LF,10,291,0.684,80
0.505,OAK,82,5,LF,25,487,0.861,102
0.396,SEA,36,3,LF,12,285,0.698,80
0.37,TEX,6,2,CF,5,46,0.605,12
0.473,NYY,93,0,RF,36,537,0.837,141
0.571,TB,1,0,LF,0,7,0.714,1
0.247,CLE,7,0,RF,4,97,0.493,25
0.26,BOS,5,0,CF,3,96,0.532,26
0.341,SEA,20,0,LF,6,164,0.654,46
0.317,OAK,9,0,RF,2,104,0.654,27
0.463,OAK,85,5,RF,29,611,0.768,151
0.395,MIN,41,4,CF,38,516,0.738,62
0.0,BAL,0,0,OF,0,1,0.0,0
0.429,TB,59,3,LF,18,399,0.769,102
0.479,DET,66,10,CF,29,543,0.856,134
0.37,BOS,26,0,CF,18,303,0.682,43
0.25,CLE,2,0,LF,1,28,0.383,8
0.479,BOS,19,2,LF,10,117,0.785,22
0.403,LAA,29,0,LF,9,243,0.682,35
0.315,LAA,19,0,CF,7,168,0.606,44
0.352,BAL,4,0,LF,3,71,0.609,13
0.322,KC,9,5,CF,8,292,0.65,56
0.39,BOS,33,0,RF,21,267,0.742,63
0.564,LAA,83,8,CF,27,559,0.963,139
0.505,BAL,82,3,CF,39,648,0.839,126
0.319,TOR,11,3,CF,7,166,0.622,59
