GIDP,BB,Player,POS,CS,SB
1,5,M Fontenot,SS,0,0
3,31,R Gotay,2B,0,1
8,18,A Hernandez,2B,4,3
6,28,D Garcia,2B,3,4
3,4,J Diaz,SS,0,0
1,12,D Gregorius,SS,2,0
1,25,B Davis,2B,0,6
6,22,T Thomas,2B,1,12
0,2,I De Jesus,2B,0,1
3,18,W Rhymes,2B,3,2
5,14,B Dozier,SS,2,3
0,0,J Castro,2B,0,0
0,3,Y Mujica,SS,1,1
4,6,H Rodriguez,2B,4,5
1,1,R Tejada,SS,0,0
2,35,J Johnson,SS,7,6
0,3,M Fisher,2B,0,1
2,5,R Ryal,2B,0,3
3,10,J Valdespin,2B,8,10
0,4,J Keppinger,2B,0,0
3,7,M Rojas,SS,0,0
2,9,B Holt,2B,2,5
7,5,R Raburn,2B,0,1
1,8,E Escobar,SS,1,3
0,0,C McConnell,SS,0,0
4,31,D Worth,2B,5,10
5,14,O Quintanilla,SS,3,1
0,0,C Utley,2B,0,0
1,4,T Saladino,SS,0,1
4,7,B Dlugach,SS,0,2
5,20,P Janish,SS,1,0
8,32,T Nishioka,2B,7,7
3,24,M Antonelli,2B,2,1
0,0,J Toole,2B,0,0
