GIDP,3B,SF,Player,SO,AB,OBP,HR,SB
4,0,4,K Thompson,45,209,0.335,2,18
3,3,1,K Johnson,22,155,0.438,8,7
3,0,0,G Kingsale,7,64,0.417,0,1
9,1,1,J Padilla,41,204,0.324,1,4
4,0,0,T Hubbard,5,84,0.343,0,5
4,1,2,M Ryan,34,152,0.343,6,0
8,5,4,P Swann,101,456,0.354,18,5
5,2,0,D McDonald,81,359,0.337,13,7
1,2,0,R Thompson,12,91,0.308,1,13
11,1,6,J Rushford,40,414,0.374,10,5
2,1,1,K Robinson,23,204,0.37,1,13
3,0,0,M Spidale,22,161,0.287,1,5
10,7,5,K Reese,86,540,0.359,14,16
3,0,5,M Cummings,69,264,0.372,12,0
10,3,2,M Jones,174,489,0.347,27,2
0,0,0,J Duncan,0,1,1.0,0,0
0,5,1,J Gathright,47,226,0.388,1,31
1,0,0,W Cordero,11,31,0.25,0,0
2,0,0,J Gerut,7,48,0.518,3,0
0,0,0,S Podsednik,2,9,0.222,0,0
0,0,0,J Giambi,4,8,0.2,0,0
5,1,3,R Sadler,57,251,0.31,10,8
0,0,0,C Singleton,1,3,0.333,0,0
4,2,2,J Romano,36,224,0.349,4,5
0,0,0,M O'Keefe,3,13,0.313,1,0
0,0,0,M Ordonez,3,14,0.313,1,0
0,0,0,R Fleming,1,10,0.2,0,0
0,0,0,M Byrd,3,19,0.368,3,0
10,1,7,J Sherrod,141,433,0.331,16,2
3,0,0,D Gibson,13,70,0.253,2,0
3,0,0,M Cabrera,15,101,0.309,3,2
8,3,3,J Deardorff,82,336,0.331,15,3
1,0,0,C Wilson,6,21,0.48,3,1
7,6,3,C Denorfia,54,323,0.391,13,8
3,5,0,E Snead,62,347,0.351,1,46
9,3,7,N McLouth,57,394,0.365,5,34
2,0,0,A Hyzdu,32,118,0.343,4,0
7,10,4,A Pagan,111,516,0.333,8,27
6,3,0,D Young,33,228,0.303,6,7
10,1,5,J Griffin,139,508,0.337,30,1
5,2,1,S Bikowski,67,296,0.31,2,3
2,1,2,B Crosby,28,160,0.306,4,2
6,1,1,E Valent,58,275,0.38,9,1
7,6,4,A Gomez,91,424,0.348,7,21
3,0,0,B Gettis,33,106,0.265,3,1
2,2,0,J Nunnally,55,209,0.308,7,6
1,2,1,F Gutierrez,13,67,0.32,0,2
0,0,1,T Nixon,2,6,0.556,1,0
5,6,0,B Darula,36,402,0.372,2,17
9,2,3,R Ludwick,48,188,0.272,4,0
1,3,4,J Rodriguez,40,170,0.323,5,5
1,2,1,G Williams,21,139,0.28,4,1
9,2,1,J Tyner,56,522,0.348,1,18
7,4,0,K Kelly,49,233,0.382,3,18
5,3,6,J Cooper,76,253,0.317,14,1
2,8,5,G Lombard,159,496,0.357,20,23
3,10,5,A French,84,350,0.31,9,15
3,0,1,D Hollins,17,81,0.414,2,3
7,1,1,B McCarthy,58,239,0.295,5,1
4,0,0,A Fernandez,16,120,0.285,4,1
7,0,2,J Rabe,56,281,0.314,11,5
14,2,7,R Brown,59,385,0.37,12,2
0,0,0,S Neuberger,3,6,0.333,0,0
5,3,0,R Taylor,55,253,0.332,7,12
