SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1983 - 1984,Sport,I-divisioona,36,9,3,24,-,-,138,179,21,9,Saved in relegation
1984 - 1985,Sport,I-divisioona,44,7,2,34,-,-,156,250,19,12,Relegated
1986 - 1987,Sport,I-divisioona,44,23,1,20,-,-,200,203,47,6,-
1987 - 1988,Sport,I-divisioona,44,25,0,19,-,-,218,173,50,5,-
1988 - 1989,Sport,I-divisioona,44,17,3,24,-,-,250,228,37,9,-
1989 - 1990,Sport,I-divisioona,44,19,5,20,-,-,213,236,43,6,-
1990 - 1991,Sport,I-divisioona,44,12,4,28,-,-,149,249,28,11,Saved in relegation
1991 - 1992,Sport,I-divisioona,44,4,2,38,-,-,125,308,10,12,Relegated
1992 - 1993,Sport,II-divisioona,32,24,0,8,-,-,197,106,48,-,-
1993 - 1994,Sport,II-divisioona,36,21,0,15,-,-,187,135,42,-,-
1994 - 1995,Sport,II-divisioona,14,10,1,3,-,-,71,45,21,2,-
1995 - 1996,Sport,II-divisioona,36,32,1,3,-,-,292,80,65,1,Qualification loss
1997 - 1998,Sport,I-divisioona,44,17,6,21,-,-,119,148,40,8,Did not make playoffs
1998 - 1999,Sport,I-divisioona,48,30,4,14,-,-,153,119,64,3,Qualification loss
1999 - 2000,Sport,I-divisioona,48,31,5,12,-,-,190,118,67,2,Qualification loss
2000 - 2001,Sport,Mestis,44,21,5,18,-,-,153,129,47,5,Bronze game loss
2001 - 2002,Sport,Mestis,44,23,8,13,-,-,154,106,55,4,Bronze game loss
2002 - 2003,Sport,Mestis,44,21,3,17,-,3,150,129,48,5,Bronze game loss
2003 - 2004,Sport,Mestis,45,-,-,-,-,-,151,124,55,4,Quarterfinal loss
2004 - 2005,Sport,Mestis,44,23,7,14,1,-,153,108,54,4,Final loss
2005 - 2006,Sport,Mestis,45,26,4,15,-,-,172,106,58,2,Final loss
2006 - 2007,Sport,Mestis,45,30,6,9,-,-,195,105,68,1,Bronze game win
2007 - 2008,Sport,Mestis,45,23,-,17,2,3,193,139,76,6,Quarterfinal loss
2008 - 2009,Sport,Mestis,45,25,-,13,5,2,145,104,87,2,Champion
2009 - 2010,Sport,Mestis,45,22,-,16,3,4,152,120,76,4,Quarterfinal loss
2010 - 2011,Sport,Mestis,49,22,-,19,5,5,139,133,79,3,Champion
2011 - 2012,Sport,Mestis,46,24,-,10,4,8,154,104,88,3,Champion
2012 - 2013,Sport,Mestis,48,23,-,18,5,2,147,127,81,3,Quarterfinal loss
2013 - 2014,Sport,Mestis,56,27,-,12,11,6,195,161,109,2,Quarterfinal loss
2014 - 2015,Sport,Liiga,60,15,-,35,5,5,121,185,60,14,Did not make playoffs
