eFG%,DRB%,AST%
.667,7.2,16.2
.625,17.8,0.0
.000,25.2,18.0
.000,23.4,0.0
 ,24.5,0.0
.500,6.1,0.0
1.000,7.4,6.5
.000,0.0,0.0
.400,9.4,14.3
 ,17.1,13.3
.400,7.1,14.9
.000,0.0,0.0
.333,20.0,20.5
 ,0.0,0.0
.333,0.0,11.4
.400,34.9,12.4
1.000,0.0,0.0
.667,21.8,10.8
1.000,5.7,8.0
.667,13.3,0.0
.600,15.1,12.5
.500,10.8,4.4
.667,0.0,0.0
.000,0.0,34.0
 ,0.0,0.0
.667,0.0,0.0
.250,11.3,18.0
.400,5.0,0.0
.429,8.2,5.9
1.000,13.3,0.0
.800,29.1,0.0
1.000,14.0,0.0
.500,15.7,12.8
.000,38.1,32.7
.500,17.0,0.0
 ,30.5,12.7
1.000,0.0,0.0
 ,0.0,0.0
.500,33.3,0.0
.500,0.0,25.7
.000,21.8,0.0
.400,7.7,0.0
.000,0.0,0.0
 ,0.0,24.5
.000,0.0,0.0
