Year,Team,League,G,GS,W,L,CG,SHO,SV,IP,H,R,ER,HR,BB,K,ERA
2015,Boston,AL,21,21,8,9,0,0,0,120.0,123,64,62,11,47,88,4.65
2014,Arizona,NL,33,33,8,12,0,0,0,201.1,207,103,97,23,75,183,4.34
2013,Arizona,NL,33,33,10,10,0,0,0,202.2,201,88,80,21,66,147,3.55
2012,Arizona,NL,32,29,16,11,0,0,0,194.2,193,79,72,14,37,144,3.33
2011,Arizona,NL,8,7,4,2,0,0,0,40.0,48,20,20,6,18,25,4.5
 ,Reno,AAA,8,8,4,1,1,0,0,54.1,53,23,22,4,16,56,3.64
 ,Mobile,AA,14,14,4,2,0,0,0,75.1,74,49,40,6,28,46,4.78
2010,Mobile,AA,13,13,5,2,1,0,0,72.2,60,26,16,5,28,63,1.98
 ,Visalia,A,14,14,4,5,0,0,0,80.1,81,36,29,1,37,50,3.25
2009,South Bend,A,21,21,5,9,0,0,0,113.2,127,60,52,8,29,91,4.12
 ,Visalia,A,3,3,1,1,0,0,0,15.0,18,10,8,0,4,11,4.8
2008,Yakima,A,7,0,1,1,0,0,0,11.0,11,6,6,0,5,11,4.91
MLB,Total,MLB,127,123,46,44,0,0,0,758.2,772,354,331,75,243,587,3.93
AL,Total,AL,21,21,8,9,0,0,0,120.0,123,64,62,11,47,88,4.65
NL,Total,NL,106,102,38,35,0,0,0,638.2,649,290,269,64,196,499,3.79
AAA,Total,AAA,8,8,4,1,1,0,0,54.1,53,23,22,4,16,56,3.64
AA,Total,AA,27,27,9,4,1,0,0,148.0,134,75,56,11,56,109,3.41
A,Total,A,45,38,11,16,0,0,0,220.0,237,112,95,9,75,163,3.89
