Rk,STL%,BLK%,TS%
62,9.9,6.1,1.000
17,0.0,0.0,.568
52,0.0,0.0,.000
34,0.0,0.0, 
61,0.0,12.5, 
64,4.4,0.0,.307
9,0.0,3.0,.000
35,0.0,0.0,.000
39,2.7,8.3, 
29,0.0,0.0, 
51,0.0,0.0,.000
38,0.0,6.7, 
33,0.0,8.7, 
27,4.6,5.5,.333
37,0.0,0.0,.000
15,2.3,0.0, 
58,1.8,2.3,.532
47,0.0,5.6, 
32,7.6,0.0, 
53,0.0,4.0,.906
59,0.0,0.0,.667
12,4.2,10.6, 
3,1.3,5.4,.725
46,1.5,3.0,.500
10,5.2,3.0, 
2,0.0,2.1,1.000
42,0.0,10.2, 
75,1.5,0.0,.500
11,0.0,0.0,.000
49,2.8,0.0,.000
19,0.0,0.0,.000
26,0.0,6.7,.694
36,0.0,9.0, 
23,3.5,8.4,.000
73,1.7,3.8,.500
72,8.2,0.0,.667
