ORtg,DRB%,Age,G,TRB%,TOV%,GS,Tm
236,24.4,26-037,64,16.2,0.0,0,ATL
95,7.9,25-264,3,10.7,22.2,0,ATL
100,47.1,25-346,40,32.1,0.0,0,ATL
142,22.1,25-277,10,18.6,26.6,0,ATL
183,33.4,26-049,70,26.7,0.0,0,ATL
159,15.3,25-325,32,6.7,0.0,0,ATL
114,14.8,25-281,12,9.6,17.4,0,ATL
137,18.0,26-018,54,20.5,0.0,0,ATL
86,10.2,25-292,17,5.7,29.1,0,ATL
91,0.0,25-311,25,0.0,0.0,0,ATL
118,18.0,25-298,20,11.5,0.0,0,ATL
143,10.3,26-056,74,14.5,0.0,0,ATL
34,44.3,25-349,41,23.7,0.0,0,ATL
94,21.5,25-302,21,15.2,0.0,0,ATL
62,0.0,25-328,33,0.0,20.5,0,ATL
79,21.8,25-333,36,13.5,20.7,0,ATL
22,29.0,26-026,59,12.2,50.0,0,ATL
146,15.5,25-266,4,12.8,11.4,0,ATL
103,23.2,25-274,8,24.1,50.0,0,ATL
0,0.0,25-290,16,0.0,100.0,0,ATL
82,59.2,25-354,44,26.9,50.0,0,ATL
147,13.3,26-061,77,18.2,12.2,0,ATL
130,41.9,25-330,34,34.0,17.4,0,ATL
167,15.4,25-309,24,6.7,0.0,0,ATL
87,0.0,25-260,1,3.9,0.0,0,ATL
65,23.0,25-322,30,11.1,51.5,0,ATL
216,50.8,25-360,47,35.3, ,0,ATL
73,21.6,25-357,45,11.6,0.0,0,ATL
114,22.8,25-306,23,23.1,11.6,0,ATL
38,0.0,26-011,50,4.5,34.0,0,ATL
0,11.2,25-270,7,6.5,0.0,0,ATL
