Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Quintin Berry,Bos,9,3,1,2,0,0,0,2,0,0,0,1,0.667,0.667,0.667,1.333
David Ortiz,Bos,131,494,78,152,36,2,28,97,4,0,74,84,0.308,0.395,0.559,0.954
Mike Carp,Bos,81,205,34,62,17,2,9,42,1,0,21,62,0.302,0.368,0.537,0.905
Mike Napoli,Bos,136,487,78,125,36,2,23,90,1,1,69,182,0.257,0.355,0.48,0.836
Xander Bogaerts,Bos,14,35,5,10,3,0,1,6,1,0,4,9,0.286,0.35,0.457,0.807
Jarrod Saltalamacchia,Bos,117,410,63,109,38,0,13,59,4,1,43,137,0.266,0.334,0.454,0.788
Shane Victorino,Bos,117,457,80,134,26,2,14,57,21,3,25,70,0.293,0.351,0.451,0.802
Ryan Lavarnway,Bos,22,71,7,22,7,0,1,13,0,0,2,16,0.31,0.342,0.451,0.793
Daniel Nava,Bos,128,434,71,130,29,0,11,63,0,2,51,90,0.3,0.385,0.442,0.827
Stephen Drew,Bos,118,418,52,103,27,7,13,64,6,0,53,122,0.246,0.33,0.438,0.768
Will Middlebrooks,Bos,87,318,38,75,17,0,15,42,3,1,20,88,0.236,0.283,0.431,0.714
Jacoby Ellsbury,Bos,131,566,89,169,31,8,8,52,52,4,46,91,0.299,0.355,0.424,0.779
Dustin Pedroia,Bos,154,618,87,186,42,2,9,83,17,5,72,74,0.301,0.373,0.419,0.792
Jonny Gomes,Bos,112,298,45,71,17,0,12,49,1,0,42,85,0.238,0.339,0.416,0.755
Jose Iglesias,Bos,63,215,27,71,10,2,1,19,3,1,11,30,0.33,0.376,0.409,0.785
Brandon Snyder,Bos,24,46,4,9,3,0,2,7,0,0,0,13,0.196,0.213,0.391,0.604
David Ross,Bos,34,95,11,19,4,0,4,7,1,0,11,39,0.2,0.29,0.368,0.658
Pedro Ciriaco,Bos,28,51,4,11,2,1,1,4,2,1,6,12,0.216,0.293,0.353,0.646
Jackie Bradley Jr.,Bos,32,86,16,16,5,0,2,7,1,0,9,28,0.186,0.278,0.314,0.592
Brock Holt,Bos,23,59,7,12,2,0,0,11,1,0,7,4,0.203,0.275,0.237,0.513
John McDonald,Bos,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
John Lackey,Bos,2,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
Jake Peavy,Bos,2,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jon Lester,Bos,2,6,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0
Franklin Morales,Bos,1,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
