Player,Player Sort,Pos,Salary,Salary Sort,Pct,Pct Sort,WARP,WARP Sort,WARP/$M,WARP/$M Sort,$/WARP,$/WARP Sort
Jon Lester,Lester Jon,SP,"$20,000,000",20000000,16.62%,16.62,1.73,1.72948,0.09,0.086474,"$11,564,170",11564169.576983
Edwin Jackson,Jackson Edwin,RP,"$13,000,000",13000000,10.80%,10.8,0.47,0.465232,0.04,0.035787076923077,"$27,943,048",27943047.769715
Miguel Montero,Montero Miguel,C,"$12,000,000",12000000,9.97%,9.97,1.31,1.30729,0.11,0.10894083333333,"$9,179,295",9179294.5712122
Dexter Fowler,Fowler Dexter,CF,"$9,500,000",9500000,7.89%,7.89,2.00,2.00469,0.21,0.21102,"$4,738,887",4738887.3092598
Jason Hammel,Hammel Jason,SP,"$9,000,000",9000000,7.48%,7.48,1.78,1.78323,0.20,0.19813666666667,"$5,047,021",5047021.4161942
Starlin Castro,Castro Starlin,SS,"$6,857,143",6857143,5.70%,5.7,-0.11,-0.105434,—,0.0,—,0.0
Travis Wood,Wood Travis,SP,"$5,685,000",5685000,4.72%,4.72,0.22,0.21697,0.04,0.038165347405453,"$26,201,779",26201779.047795
Anthony Rizzo,Rizzo Anthony,1B,"$5,285,714",5285714,4.39%,4.39,3.38,3.38171,0.64,0.63978300755584,"$1,563,030",1563029.9463881
Jason Motte,Motte Jason,RP,"$4,500,000",4500000,3.74%,3.74,0.39,0.389802,0.09,0.086622666666667,"$11,544,323",11544322.502193
Tsuyoshi Wada,Wada Tsuyoshi,SP,"$4,000,000",4000000,3.32%,3.32,0.06,0.0583223,0.01,0.014580575,"$68,584,401",68584400.820955
Jake Arrieta,Arrieta Jake,SP,"$3,630,000",3630000,3.02%,3.02,2.45,2.45326,0.68,0.67582920110193,"$1,479,664",1479663.7942982
Jorge Soler,Soler Jorge,RF,"$2,666,667",2666667,2.22%,2.22,-0.15,-0.146678,—,0.0,—,0.0
Chris Denorfia,Denorfia Chris,LF,"$2,600,000",2600000,2.16%,2.16,0.55,0.554898,0.21,0.21342230769231,"$4,685,546",4685545.8120231
Pedro Strop,Strop Pedro,RP,"$2,525,000",2525000,2.10%,2.1,0.22,0.222431,0.09,0.088091485148515,"$11,351,835",11351834.951063
Chris Coghlan,Coghlan Chris,LF,"$2,505,000",2505000,2.08%,2.08,1.95,1.9502,0.78,0.77852295409182,"$1,284,484",1284483.6427033
David Ross,Ross David,C,"$2,500,000",2500000,2.08%,2.08,0.02,0.0186728,0.01,0.00746912,"$133,884,581",133884580.7806
Phil Coke,Coke Phil,RP,"$2,250,000",2250000,1.87%,1.87,0.03,0.0340292,0.02,0.015124088888889,"$66,119,685",66119685.446616
Welington Castillo,Castillo Welington,PH,"$2,100,000",2100000,1.75%,1.75,0.06,0.0609513,0.03,0.029024428571429,"$34,453,736",34453736.015475
Ryan Sweeney,Sweeney Ryan,DNP,"$1,500,000",1500000,1.25%,1.25,—,0.0,—,0.0,—,0.0
Gerardo Concepcion,Concepcion Gerardo,DNP,"$1,200,000",1200000,1.00%,1.0,—,0.0,—,0.0,—,0.0
Jacob Turner,Turner Jacob,DNP,"$1,000,000",1000000,0.83%,0.83,—,0.0,—,0.0,—,0.0
Jonathan Herrera,Herrera Jonathan,PH,"$900,000",900000,0.75%,0.75,-0.29,-0.292868,—,0.0,—,0.0
Hector Rondon,Rondon Hector,RP,"$544,000",544000,0.45%,0.45,0.65,0.647714,1.19,1.1906507352941,"$839,877",839876.85923108
Justin Grimm,Grimm Justin,RP,"$531,500",531500,0.44%,0.44,0.42,0.418364,0.79,0.78713828786453,"$1,270,425",1270424.7975447
Mike Olt,Olt Mike,3B,"$520,000",520000,0.43%,0.43,-0.11,-0.110694,—,0.0,—,0.0
Neil Ramirez,Ramirez Neil,RP,"$514,500",514500,0.43%,0.43,0.02,0.019172,0.04,0.037263362487852,"$26,836,011",26836010.849155
Tommy La Stella,La Stella Tommy,2B,"$513,000",513000,0.43%,0.43,-0.03,-0.029625,—,0.0,—,0.0
Arismendy Alcantara,Alcantara Arismendy,2B,"$510,000",510000,0.42%,0.42,-0.14,-0.138135,—,0.0,—,0.0
Kyle Hendricks,Hendricks Kyle,SP,"$510,000",510000,0.42%,0.42,0.87,0.865938,1.70,1.6979176470588,"$588,957",588956.71514589
Matt Szczur,Szczur Matt,LF,"$508,500",508500,0.42%,0.42,-0.24,-0.236419,—,0.0,—,0.0
Dallas Beeler,Beeler Dallas,SP,"$508,000",508000,0.42%,0.42,0.02,0.0165393,0.03,0.032557677165354,"$30,714,722",30714721.904796
Felix Doubront,Doubront Felix,DNP,"$473,361",473361,0.39%,0.39,—,0.0,—,0.0,—,0.0
