SO,RBI,SB,Gact,PA,G
2,0,0,14,14,15
29,16,1,74,226,78
9,13,0,52,114,55
32,24,11,95,353,100
34,3,0,37,96,39
11,3,0,32,54,34
48,39,4,106,407,112
1,1,0,2,8,2
6,9,0,37,104,39
6,14,0,60,135,63
13,3,0,37,42,39
1,0,0,2,1,2
0,0,0,4,2,4
55,111,14,153,691,161
31,12,0,35,132,37
1,0,0,10,16,11
28,24,4,106,404,112
29,31,27,113,453,119
28,43,8,114,502,120
2,0,0,6,8,6
13,3,0,29,81,31
22,75,13,140,610,147
1,6,0,23,26,24
19,93,5,142,616,149
0,0,0,1,1,1
14,15,2,54,185,57
31,22,1,54,150,57
0,0,0,22,3,23
5,23,0,67,195,70
1,0,0,7,17,7
34,5,0,41,100,43
1,0,0,4,2,4
6,8,0,41,63,43
13,43,3,94,358,99
1,0,0,6,2,6
2,0,0,20,24,21
12,12,0,22,39,23
6,1,0,29,28,31
9,2,0,34,72,36
21,6,0,32,85,34
15,6,0,40,97,42
9,4,0,26,44,27
19,106,12,139,634,146
16,9,1,41,89,43
11,15,1,43,136,45
7,30,2,72,204,76
8,6,0,19,76,20
41,89,11,147,650,155
39,63,12,136,569,143
21,45,1,110,448,116
42,70,12,123,521,129
8,6,0,19,82,20
0,0,0,1,1,1
16,53,5,118,437,124
1,6,0,15,30,16
13,42,6,136,638,143
2,8,1,46,93,48
3,0,0,7,16,7
8,16,2,50,167,53
14,10,3,37,128,39
7,8,3,31,124,33
21,16,2,72,282,76
21,55,7,149,619,157
43,109,13,153,695,161
11,10,1,32,117,34
11,15,0,35,83,37
8,18,0,59,115,62
53,50,13,135,628,142
16,1,0,31,57,33
5,4,0,10,38,11
1,6,0,8,31,8
7,8,0,43,48,45
18,55,50,149,711,157
2,0,0,13,12,14
27,24,4,70,200,74
14,97,3,153,699,161
5,2,1,49,82,52
7,5,0,17,65,18
13,2,0,23,47,24
1,0,0,18,14,19
0,0,0,1,3,1
21,34,2,98,370,103
8,1,0,38,55,40
12,23,4,46,188,48
41,42,14,131,547,138
5,20,6,58,202,61
7,9,2,32,104,34
47,70,9,155,634,163
1,2,0,14,15,15
9,3,0,31,85,33
19,36,20,102,465,107
23,55,1,120,455,126
17,19,2,52,125,55
1,1,0,11,9,12
11,2,0,21,37,22
12,3,0,34,59,36
6,2,0,33,45,35
8,15,2,38,115,40
17,24,1,81,329,85
1,1,0,1,5,1
3,6,0,25,61,26
18,23,6,76,230,80
40,54,15,119,461,125
25,23,4,79,382,83
6,2,0,46,95,48
7,10,0,32,97,34
63,95,16,152,660,160
2,0,0,3,3,3
27,4,0,35,90,37
1,0,0,4,4,4
15,45,3,121,489,127
4,0,0,19,10,20
28,35,25,124,528,130
23,17,3,64,312,67
21,30,3,128,444,135
5,13,1,54,105,57
11,5,0,49,64,52
45,56,3,118,409,124
2,0,0,26,26,27
28,40,7,96,417,101
14,25,2,78,180,82
5,1,0,21,35,22
8,7,0,33,83,35
9,8,0,49,94,52
13,17,4,77,248,81
21,28,16,117,495,123
7,6,0,25,49,26
1,1,0,8,11,8
24,36,0,106,387,112
32,19,4,91,366,96
14,10,1,40,125,42
1,0,0,1,2,1
34,93,2,128,559,135
35,46,14,156,754,164
15,23,4,37,159,39
0,0,0,4,8,4
17,83,42,152,695,160
2,0,0,13,18,14
1,0,0,5,2,5
16,7,4,50,127,53
16,7,0,37,86,39
0,0,0,3,2,3
5,22,3,67,246,70
11,1,0,28,25,29
20,16,3,80,294,84
6,3,0,29,39,31
48,122,7,154,704,162
11,0,0,44,55,46
16,1,0,21,65,22
0,1,0,7,11,7
3,0,0,5,11,5
0,0,0,5,1,5
31,65,18,151,696,159
14,6,0,46,107,48
8,24,1,24,105,25
1,0,0,10,8,11
