Birth Rate rank [1],Death Rate rank [2],Net Birth Rate rank [3],Popul. rank [4],Abs Popul. Growth rank [5],GDP rank [6],GDP per capita rank [7],GDPpc * Popul. growth rank [8],Country,Popul. [million] [4],GDP (ppp) [b$] [6],GDP per capita [$] [7],GDPpc * Popul. growth [b$] [8],Death rate [/1000 a] [2],Net Birth rate [/1000] [3],Birth rate [/1000] [1],Abs Popul. Growth [1000] [5]
114,95,105,1,1,1,87,1,World,6525.0,65000.0,9961,739.7,8.67,11.38,20.05,74256.0
149,137,159,2,3,4,108,3,People's Republic of China,1314.0,7900.0,6000,62.8,6.97,6.28,13.25,8252.0
104,111,93,3,2,6,148,4,India,1095.0,4042.0,3690,55.9,8.18,13.83,22.01,15149.0
198,67,196,4,217,3,40,217,European Union,487.0,12820.0,26344,-1.28,10.1,-0.1,10.0,-48.7
153,106,151,5,10,2,9,2,United States,300.0,13130.0,43500,76.32,8.26,5.88,14.14,1755.0
102,159,105,6,5,17,146,7,Indonesia,245.0,935.0,3809,13.17,6.25,14.09,20.34,3458.0
124,165,132,7,8,12,97,6,Brazil,188.0,1616.0,8592,16.79,6.17,10.39,16.56,1954.0
53,108,58,8,4,28,161,9,Pakistan,166.0,427.0,2577,9.19,8.23,21.51,29.74,3566.0
52,104,57,9,6,32,167,11,Bangladesh,147.0,331.0,2245,7.12,8.27,21.53,29.8,3173.0
219,29,198,10,222,11,79,222,Russia,143.0,1723.0,12058,-8.1,14.65,-4.7,9.95,-671.6
40,17,21,11,7,49,192,20,Nigeria,132.0,189.0,1430,4.43,16.94,23.49,40.43,3097.0
193,87,205,12,112,5,21,55,Japan,127.0,4220.0,33107,0.89,9.16,0.21,9.37,27.0
87,196,102,13,13,15,85,5,Mexico,107.0,1134.0,10554,18.09,4.74,15.95,20.69,1714.0
70,178,74,14,11,27,128,10,Philippines,89.47,443.0,4953,8.63,5.41,19.48,24.89,1743.0
120,162,128,15,17,38,152,26,Vietnam,84.4,259.0,3064,2.75,6.22,10.64,16.86,898.0
210,56,220,16,220,7,28,221,Germany,82.42,2585.0,31363,-6.13,10.62,-2.37,8.25,-195.3
80,185,84,17,14,34,142,14,Egypt,78.89,328.0,4159,5.81,5.23,17.71,22.94,1397.0
43,27,29,18,12,73,207,38,Ethiopia,74.78,71.6,958,1.66,14.86,23.12,37.98,1729.0
119,167,131,19,22,20,91,13,Turkey,70.41,627.0,8907,6.68,5.97,10.65,16.62,750.0
114,177,126,20,21,21,92,12,Iran,68.69,610.0,8887,6.99,5.55,11.45,17.0,786.0
145,136,155,21,32,23,89,22,Thailand,64.63,586.0,9065,4.0,7.04,6.83,13.87,441.0
175,88,171,22,63,9,32,18,France,62.75,1871.0,29816,5.33,9.14,2.85,11.99,179.0
8,37,11,23,9,87,215,41,Democratic Republic of the Congo,62.66,44.6,712,1.36,13.27,30.42,43.69,1906.0
189,66,184,24,108,8,27,46,United Kingdom,60.61,1903.0,31398,1.1,10.13,0.58,10.71,35.0
206,60,217,25,218,10,33,220,Italy,58.13,1727.0,29707,-2.9,10.4,-1.68,8.72,-97.7
164,168,197,26,59,13,45,19,South Korea,48.85,1180.0,24157,4.9,5.85,4.15,10.0,203.0
141,71,121,27,39,66,181,64,Burma,47.38,83.8,1769,0.68,9.83,8.08,17.91,383.0
220,30,212,28,221,31,107,218,Ukraine,46.71,356.0,7617,-1.98,14.39,-5.57,8.82,-260.2
215,7,115,29,219,24,74,219,South Africa,44.19,576.0,13044,-2.19,22.0,-3.8,18.2,-167.9
94,175,104,30,26,30,98,17,Colombia,43.59,367.0,8412,5.46,5.58,14.9,20.48,650.0
30,92,42,31,15,62,166,29,Sudan,41.24,96.0,2328,2.45,8.97,25.56,34.53,1054.0
191,76,193,32,121,16,39,86,Spain,40.4,1070.0,26487,0.36,9.72,0.34,10.06,14.0
132,123,129,33,41,22,66,15,Argentina,39.92,599.0,15007,5.5,7.55,9.18,16.73,366.0
197,69,199,34,201,25,54,203,Poland,38.54,543.0,20080,-0.02,9.89,-0.04,9.85,-1.5
54,21,30,35,20,101,214,68,Tanzania,37.45,29.3,781,0.62,16.39,21.32,37.71,798.0
29,32,24,36,18,92,201,49,Kenya,34.71,40.8,1175,1.05,14.02,25.7,39.72,892.0
85,176,94,37,29,56,106,31,Morocco,33.76,153.5,4600,2.41,5.58,16.4,21.98,545.0
174,118,181,38,84,14,18,23,Canada,33.1,1165.0,35198,3.47,7.8,2.98,10.78,99.0
108,199,125,39,36,39,105,24,Algeria,32.93,253.0,7695,3.18,4.61,12.53,17.14,413.0
27,11,4,40,19,114,217,70,Afghanistan,31.06,21.5,692,0.56,20.34,26.26,46.6,816.0
101,161,103,41,37,50,116,27,Peru,28.3,182.0,6423,2.59,6.23,14.25,20.48,403.0
51,82,52,42,27,90,189,52,Nepal,28.29,42.8,1514,0.93,9.31,21.67,30.98,613.0
2,46,3,43,16,83,179,35,Uganda,28.2,51.9,1840,1.82,12.24,35.11,47.35,990.0
74,115,72,44,30,79,174,51,Uzbekistan,27.31,54.8,2007,1.02,7.84,18.52,26.36,506.0
23,219,60,45,24,29,71,8,Saudi Arabia,27.02,374.0,13842,10.01,2.58,26.76,29.34,723.0
25,179,50,46,25,63,149,28,Iraq,26.78,94.1,3513,2.5,5.37,26.61,31.98,713.0
106,191,111,47,43,52,115,30,Venezuela,25.73,176.0,6856,2.43,4.92,13.79,18.71,355.0
79,190,85,48,33,35,76,16,Malaysia,24.39,309.0,12663,5.5,5.05,17.81,22.86,434.0
138,131,140,49,61,93,183,89,North Korea,23.11,40.0,1731,0.34,7.13,8.41,15.54,194.0
152,152,166,50,73,18,36,21,Taiwan,23.04,668.0,29011,4.06,6.48,6.08,12.56,140.0
59,75,54,51,31,77,160,43,Ghana,22.41,59.2,2639,1.23,9.72,20.8,30.52,466.0
202,50,185,52,213,48,93,211,Romania,22.3,197.0,8846,-0.21,11.77,-1.07,10.7,-23.9
3,101,13,53,23,117,209,60,Yemen,21.46,20.4,950,0.7,8.3,34.59,42.89,742.0
162,126,167,54,86,19,22,25,Australia,20.26,666.0,32881,3.08,7.51,4.63,12.14,94.0
133,151,142,55,62,64,136,58,Sri Lanka,20.22,93.3,4615,0.84,6.52,8.99,15.51,182.0
105,9,39,56,49,100,190,83,Mozambique,19.69,29.3,1489,0.41,21.35,13.83,35.18,272.0
46,193,65,57,34,69,143,37,Syria,18.88,75.1,3977,1.72,4.81,22.95,27.76,433.0
9,54,17,58,28,124,211,74,Madagascar,18.6,17.3,929,0.52,11.11,30.3,41.41,563.0
64,28,40,59,42,103,185,69,Côte d'Ivoire,17.65,28.5,1613,0.58,14.84,20.27,35.11,358.0
63,35,45,60,44,91,164,56,Cameroon,17.34,42.2,2434,0.86,13.47,20.42,33.89,354.0
178,95,180,61,106,26,29,45,Netherlands,16.49,512.0,31046,1.14,8.68,2.22,10.9,37.0
131,169,145,62,69,46,78,33,Chile,16.13,203.0,12582,1.91,5.81,9.42,15.23,152.0
148,79,136,63,83,57,88,54,Kazakhstan,15.23,139.0,9105,0.91,9.42,6.58,16.0,100.0
10,24,7,64,35,121,195,72,Burkina Faso,13.9,17.9,1285,0.54,15.6,30.02,45.62,417.0
78,89,69,65,53,94,158,66,Cambodia,13.88,36.8,2650,0.66,9.06,17.84,26.9,248.0
77,208,90,66,54,75,139,47,Ecuador,13.55,60.5,4464,1.09,4.23,18.06,22.29,245.0
39,13,12,67,45,150,219,106,Malawi,13.01,8.04,618,0.19,19.33,23.8,43.13,310.0
11,10,1,68,40,137,206,85,Niger,12.53,12.2,976,0.36,20.91,29.82,50.73,373.0
32,187,56,69,46,74,129,39,Guatemala,12.29,60.6,4927,1.49,5.2,24.68,29.88,303.0
151,8,64,70,90,109,170,112,Zimbabwe,12.24,25.1,2047,0.15,21.84,6.17,28.01,76.0
57,4,9,71,51,82,141,48,Angola,12.13,52.0,4284,1.09,24.2,20.91,45.11,254.0
41,80,48,72,48,113,180,75,Senegal,11.99,22.0,1836,0.51,9.42,23.36,32.78,280.0
6,18,2,73,38,132,200,78,Mali,11.72,14.6,1245,0.48,16.89,32.93,49.82,386.0
55,12,18,74,55,138,205,99,Zambia,11.5,11.5,1001,0.24,19.93,21.07,41.0,242.0
161,129,173,75,96,88,144,104,Cuba,11.38,44.5,3913,0.21,7.22,4.67,11.89,53.0
200,65,202,76,205,42,46,209,Greece,10.69,252.0,23550,-0.14,10.24,-0.56,9.68,-6.0
192,59,183,77,155,45,58,140,Portugal,10.61,203.0,19150,0.04,10.5,0.22,10.72,2.3
194,64,189,78,169,33,24,143,Belgium,10.38,330.0,31833,0.04,10.27,0.11,10.38,1.1
211,33,176,79,214,67,104,212,Belarus,10.29,80.7,7844,-0.23,14.02,-2.86,11.16,-29.4
205,57,210,80,212,43,49,214,Czech Republic,10.24,221.0,21631,-0.35,10.59,-1.57,9.02,-16.1
123,188,141,81,81,65,96,53,Tunisia,10.18,87.9,8637,0.91,5.13,10.39,15.52,106.0
213,39,200,82,215,53,62,216,Hungary,9.98,173.0,17302,-0.59,13.11,-3.39,9.72,-33.8
13,22,6,83,47,129,188,79,Chad,9.94,15.3,1535,0.45,16.38,29.35,45.73,292.0
26,25,16,84,50,119,175,76,Guinea,9.69,19.4,2002,0.51,15.48,26.28,41.76,255.0
82,171,82,85,66,72,101,42,Dominican Republic,9.18,73.7,8029,1.29,5.73,17.49,23.22,161.0
